yaw:  -5.95649655771 Yaw vel:  -0.019 Yaw acc:  -9.86 yaw Deseada:  -18.4370962638 Control: 1468.78977896 Error:  12.4805997061 
yaw:  -5.97803854746 Yaw vel:  0.008 Yaw acc:  -9.9 yaw Deseada:  -22.0317934397 Control: 1459.85624179 Error:  16.0537548922 
yaw:  -5.97803854746 Yaw vel:  0.008 Yaw acc:  -9.9 yaw Deseada:  -25.8660159688 Control: 1450.27000167 Error:  19.8879774214 
yaw:  -5.85499439711 Yaw vel:  0.035 Yaw acc:  -9.88 yaw Deseada:  -29.9062144075 Control: 1439.86103333 Error:  24.0512200104 
yaw:  -5.69587916398 Yaw vel:  0.035 Yaw acc:  -9.88 yaw Deseada:  -34.1155522296 Control: 1428.9393636 Error:  28.4196730657 
yaw:  -5.69587916398 Yaw vel:  0.022 Yaw acc:  -9.84 yaw Deseada:  -38.4543615711 Control: 1418.09241897 Error:  32.7584824072 
yaw:  -5.89967066447 Yaw vel:  0.022 Yaw acc:  -9.84 yaw Deseada:  -42.8806369173 Control: 1407.53651529 Error:  36.9809662528 
yaw:  -5.89967066447 Yaw vel:  -0.069 Yaw acc:  -9.94 yaw Deseada:  -47.3505602715 Control: 1396.36105928 Error:  41.450889607 
yaw:  -6.83426295097 Yaw vel:  -0.069 Yaw acc:  -9.94 yaw Deseada:  -51.8190509261 Control: 1387.5287677 Error:  44.9847879751 
yaw:  -6.83426295097 Yaw vel:  -0.22 Yaw acc:  -9.83 yaw Deseada:  -56.2403326303 Control: 1376.47323862 Error:  49.4060696793 
yaw:  -6.83426295097 Yaw vel:  -0.22 Yaw acc:  -9.83 yaw Deseada:  -60.5685107205 Control: 1365.65303839 Error:  53.7342477695 
yaw:  -8.97667515443 Yaw vel:  -0.43 Yaw acc:  -9.77 yaw Deseada:  -64.7581516461 Control: 1360.54094438 Error:  55.7814764916 
yaw:  -8.97667515443 Yaw vel:  -0.43 Yaw acc:  -9.77 yaw Deseada:  -68.76485729 Control: 1350.51904674 Error:  59.7881821355 
yaw:  -12.0242517744 Yaw vel:  -0.563 Yaw acc:  -9.8 yaw Deseada:  -72.5458265526 Control: 1348.69414167 Error:  60.5215747782 
yaw:  -16.1763348699 Yaw vel:  -0.563 Yaw acc:  -9.8 yaw Deseada:  -76.0603968339 Control: 1350.29151514 Error:  59.884061964 
yaw:  -16.1763348699 Yaw vel:  -0.742 Yaw acc:  -9.79 yaw Deseada:  -79.2705583133 Control: 1342.25603269 Error:  63.0942234434 
yaw:  -20.9640942799 Yaw vel:  -0.742 Yaw acc:  -9.79 yaw Deseada:  -82.1414342849 Control: 1347.06167064 Error:  61.1773400049 
yaw:  -20.9640942799 Yaw vel:  -0.865 Yaw acc:  -9.9 yaw Deseada:  -84.6417212519 Control: 1340.79938446 Error:  63.677626972 
yaw:  -20.9640942799 Yaw vel:  -0.865 Yaw acc:  -9.9 yaw Deseada:  -86.744083016 Control: 1335.54452267 Error:  65.7799887361 
yaw:  -26.4809490631 Yaw vel:  -0.963 Yaw acc:  -9.83 yaw Deseada:  -88.4254936014 Control: 1345.14868171 Error:  61.9445445383 
yaw:  -26.4809490631 Yaw vel:  -0.963 Yaw acc:  -9.83 yaw Deseada:  -89.6675245282 Control: 1342.03030938 Error:  63.1865754651 
yaw:  -32.4624718608 Yaw vel:  -1.041 Yaw acc:  -9.87 yaw Deseada:  -90.4565726846 Control: 1355.02834199 Error:  57.9941008238 
yaw:  -38.8614814338 Yaw vel:  -1.041 Yaw acc:  -9.87 yaw Deseada:  -90.7840258273 Control: 1370.20953314 Error:  51.9225443934 
yaw:  -38.8614814338 Yaw vel:  -1.026 Yaw acc:  -10.1 yaw Deseada:  -90.6463635637 Control: 1370.53815502 Error:  51.7848821299 
yaw:  -44.4405746083 Yaw vel:  -1.026 Yaw acc:  -10.1 yaw Deseada:  -90.0451925198 Control: 1386.0046311 Error:  45.6046179115 
yaw:  -44.4405746083 Yaw vel:  -0.953 Yaw acc:  -10.06 yaw Deseada:  -88.9872152615 Control: 1388.63616722 Error:  44.5466406532 
yaw:  -44.4405746083 Yaw vel:  -0.953 Yaw acc:  -10.06 yaw Deseada:  -87.484133416 Control: 1392.39503638 Error:  43.0435588078 
yaw:  -49.7338585169 Yaw vel:  -0.808 Yaw acc:  -9.81 yaw Deseada:  -85.5524862998 Control: 1410.47233573 Error:  35.8186277829 
