yaw:  3.06129163977 Yaw vel:  0.415 Yaw acc:  -9.8 yaw Deseada:  21.0138792835 Control: 1544.90011135 Error:  -17.9525876438 
yaw:  5.25763245561 Yaw vel:  0.38 Yaw acc:  -9.9 yaw Deseada:  24.650597503 Control: 1548.4904162 Error:  -19.3929650474 
yaw:  5.25763245561 Yaw vel:  0.38 Yaw acc:  -9.9 yaw Deseada:  28.550676292 Control: 1558.2542767 Error:  -23.2930438364 
yaw:  7.36816731244 Yaw vel:  0.374 Yaw acc:  -9.94 yaw Deseada:  32.6906957275 Control: 1563.31759386 Error:  -25.3225284151 
yaw:  7.36816731244 Yaw vel:  0.374 Yaw acc:  -9.94 yaw Deseada:  37.0430821877 Control: 1574.21145816 Error:  -29.6749148752 
yaw:  9.65200669352 Yaw vel:  0.441 Yaw acc:  -9.93 yaw Deseada:  41.5764343693 Control: 1579.82355954 Error:  -31.9244276758 
yaw:  9.65200669352 Yaw vel:  0.441 Yaw acc:  -9.93 yaw Deseada:  46.2559015954 Control: 1591.53571505 Error:  -36.6038949019 
yaw:  12.4121535852 Yaw vel:  0.524 Yaw acc:  -9.97 yaw Deseada:  51.0436094678 Control: 1596.58989351 Error:  -38.6314558825 
yaw:  12.4121535852 Yaw vel:  0.524 Yaw acc:  -9.97 yaw Deseada:  55.8991272937 Control: 1608.74437943 Error:  -43.4869737084 
yaw:  15.8670502439 Yaw vel:  0.669 Yaw acc:  -9.9 yaw Deseada:  60.7799711585 Control: 1612.29021396 Error:  -44.9129209147 
yaw:  15.8670502439 Yaw vel:  0.669 Yaw acc:  -9.9 yaw Deseada:  65.6421360429 Control: 1624.46468657 Error:  -49.7750857991 
yaw:  20.2670563996 Yaw vel:  0.832 Yaw acc:  -9.99 yaw Deseada:  70.4406499961 Control: 1625.43619424 Error:  -50.1735935965 
yaw:  20.2670563996 Yaw vel:  0.832 Yaw acc:  -9.99 yaw Deseada:  75.1301430817 Control: 1637.18372129 Error:  -54.8630866821 
yaw:  25.6408545782 Yaw vel:  1.008 Yaw acc:  -10.01 yaw Deseada:  79.6654236139 Control: 1635.05677363 Error:  -54.0245690357 
yaw:  25.6408545782 Yaw vel:  1.008 Yaw acc:  -10.01 yaw Deseada:  84.0020541031 Control: 1645.92703778 Error:  -58.3611995249 
yaw:  32.0048116204 Yaw vel:  1.172 Yaw acc:  -10.04 yaw Deseada:  88.0969193272 Control: 1640.21769348 Error:  -56.0921077068 
yaw:  32.0048116204 Yaw vel:  1.172 Yaw acc:  -10.04 yaw Deseada:  91.9087790503 Control: 1649.78104081 Error:  -59.9039674299 
yaw:  39.2069660624 Yaw vel:  1.297 Yaw acc:  -10.07 yaw Deseada:  95.3987981039 Control: 1640.45901426 Error:  -56.1918320415 
yaw:  39.2069660624 Yaw vel:  1.297 Yaw acc:  -10.07 yaw Deseada:  98.5310468459 Control: 1648.32755193 Error:  -59.3240807835 
yaw:  47.1203139518 Yaw vel:  1.429 Yaw acc:  -10.05 yaw Deseada:  101.272965397 Control: 1635.35298861 Error:  -54.1526514457 
yaw:  47.1203139518 Yaw vel:  1.429 Yaw acc:  -10.05 yaw Deseada:  103.595785534 Control: 1641.20154064 Error:  -56.4754715825 
yaw:  55.3982709994 Yaw vel:  1.448 Yaw acc:  -10.03 yaw Deseada:  105.474904662 Control: 1625.1561597 Error:  -50.076633663 
yaw:  55.3982709994 Yaw vel:  1.448 Yaw acc:  -10.03 yaw Deseada:  106.890206942 Control: 1628.73767363 Error:  -51.4919359422 
yaw:  63.7025584263 Yaw vel:  1.441 Yaw acc:  -10.14 yaw Deseada:  107.82632731 Control: 1610.26864652 Error:  -44.1237688832 
yaw:  63.7025584263 Yaw vel:  1.441 Yaw acc:  -10.14 yaw Deseada:  108.272854914 Control: 1611.42821186 Error:  -44.5702964874 
yaw:  71.7518065895 Yaw vel:  1.374 Yaw acc:  -10.02 yaw Deseada:  108.224473255 Control: 1591.13687063 Error:  -36.4726666652 
yaw:  71.7518065895 Yaw vel:  1.374 Yaw acc:  -10.02 yaw Deseada:  107.681035174 Control: 1589.82006572 Error:  -35.9292285848 
yaw:  79.3167465293 Yaw vel:  1.271 Yaw acc:  -10.04 yaw Deseada:  106.647571683 Control: 1568.27951411 Error:  -27.3308251538 
yaw:  79.3167465293 Yaw vel:  1.271 Yaw acc:  -10.04 yaw Deseada:  105.134234488 Control: 1564.53535275 Error:  -25.8174879588 
yaw:  86.1499751335 Yaw vel:  1.127 Yaw acc:  -10.12 yaw Deseada:  103.156172958 Control: 1542.46678649 Error:  -17.0061978245 
yaw:  86.1499751335 Yaw vel:  1.127 Yaw acc:  -10.12 yaw Deseada:  100.733347123 Control: 1536.44503926 Error:  -14.5833719896 
yaw:  91.9642351362 Yaw vel:  0.976 Yaw acc:  -10.04 yaw Deseada:  97.8902791491 Control: 1514.76727068 Error:  -5.92604401294 
yaw:  91.9642351362 Yaw vel:  0.976 Yaw acc:  -10.04 yaw Deseada:  94.6557465351 Control: 1506.71090815 Error:  -2.69151139888 
yaw:  96.9567277591 Yaw vel:  0.794 Yaw acc:  -10.0 yaw Deseada:  91.0624210502 Control: 1485.2168065 Error:  5.89430670882 
yaw:  96.9567277591 Yaw vel:  0.794 Yaw acc:  -10.0 yaw Deseada:  87.1464581404 Control: 1475.45269877 Error:  9.81026961861 
yaw:  100.951609782 Yaw vel:  0.645 Yaw acc:  -9.88 yaw Deseada:  82.9470421838 Control: 1454.94333364 Error:  18.0045675982 
