yaw:  -33.5895384512 Yaw vel:  1.271 Yaw acc:  -10.12 yaw Deseada:  -0.0517975912264 Control: 1583.84414045 Error:  -33.53774086 
yaw:  -26.8495265613 Yaw vel:  1.151 Yaw acc:  -10.09 yaw Deseada:  -0.117144995717 Control: 1566.80020218 Error:  -26.7323815656 
yaw:  -26.8495265613 Yaw vel:  1.151 Yaw acc:  -10.09 yaw Deseada:  -0.162450871148 Control: 1566.71748453 Error:  -26.6870756901 
yaw:  -20.5800634787 Yaw vel:  1.025 Yaw acc:  -9.93 yaw Deseada:  -0.149533226364 Control: 1551.04806236 Error:  -20.4305302524 
yaw:  -20.5800634787 Yaw vel:  1.025 Yaw acc:  -9.93 yaw Deseada:  -0.0411354835116 Control: 1551.34780959 Error:  -20.5389279952 
yaw:  -15.1452358524 Yaw vel:  0.893 Yaw acc:  -9.97 yaw Deseada:  0.198524756172 Control: 1538.33593998 Error:  -15.3437606085 
yaw:  -15.1452358524 Yaw vel:  0.893 Yaw acc:  -9.97 yaw Deseada:  0.603226880879 Control: 1539.37298421 Error:  -15.7484627333 
yaw:  -10.5118592081 Yaw vel:  0.78 Yaw acc:  -9.94 yaw Deseada:  1.20424544725 Control: 1529.27205686 Error:  -11.7161046554 
yaw:  -10.5118592081 Yaw vel:  0.78 Yaw acc:  -9.94 yaw Deseada:  2.02988208816 Control: 1531.35808016 Error:  -12.5417412963 
yaw:  -6.40321696952 Yaw vel:  0.668 Yaw acc:  -9.98 yaw Deseada:  3.10503742067 Control: 1523.7569449 Error:  -9.5082543902 
yaw:  -6.40321696952 Yaw vel:  0.668 Yaw acc:  -9.98 yaw Deseada:  4.4508286958 Control: 1527.14118723 Error:  -10.8540456653 
yaw:  -2.91209362787 Yaw vel:  0.576 Yaw acc:  -9.93 yaw Deseada:  6.0842583257 Control: 1522.48249805 Error:  -8.99635195358 
yaw:  -2.91209362787 Yaw vel:  0.576 Yaw acc:  -9.93 yaw Deseada:  8.01793775034 Control: 1527.33380181 Error:  -10.9300313782 
yaw:  0.101244307614 Yaw vel:  0.495 Yaw acc:  -9.9 yaw Deseada:  10.2598703726 Control: 1525.39308566 Error:  -10.158626065 
yaw:  0.101244307614 Yaw vel:  0.495 Yaw acc:  -9.9 yaw Deseada:  12.8132965084 Control: 1531.79164625 Error:  -12.7120522008 
yaw:  2.67344468384 Yaw vel:  0.429 Yaw acc:  -9.9 yaw Deseada:  15.6766024778 Control: 1532.50920715 Error:  -13.003157794 
yaw:  2.67344468384 Yaw vel:  0.429 Yaw acc:  -9.9 yaw Deseada:  18.8432951115 Control: 1540.43890331 Error:  -16.1698504276 
yaw:  4.87233935009 Yaw vel:  0.385 Yaw acc:  -9.74 yaw Deseada:  22.3020420837 Control: 1543.57993611 Error:  -17.4297027336 
yaw:  4.87233935009 Yaw vel:  0.385 Yaw acc:  -9.74 yaw Deseada:  26.0367776074 Control: 1552.92792889 Error:  -21.1644382573 
yaw:  6.93586969883 Yaw vel:  0.358 Yaw acc:  -9.92 yaw Deseada:  30.0268721629 Control: 1557.73618829 Error:  -23.0910024641 
yaw:  6.93586969883 Yaw vel:  0.358 Yaw acc:  -9.92 yaw Deseada:  34.2473640837 Control: 1568.2977529 Error:  -27.3114943848 
yaw:  8.992194198 Yaw vel:  0.393 Yaw acc:  -9.96 yaw Deseada:  38.6692499995 Control: 1574.20329679 Error:  -29.6770558015 
yaw:  8.992194198 Yaw vel:  0.393 Yaw acc:  -9.96 yaw Deseada:  43.259830362 Control: 1585.6897687 Error:  -34.267636164 
yaw:  11.3961305028 Yaw vel:  0.469 Yaw acc:  -9.89 yaw Deseada:  47.9831055407 Control: 1591.4778835 Error:  -36.5869750379 
yaw:  11.3961305028 Yaw vel:  0.469 Yaw acc:  -9.89 yaw Deseada:  52.8002173126 Control: 1603.53190921 Error:  -41.4040868098 
yaw:  14.4678569641 Yaw vel:  0.608 Yaw acc:  -9.9 yaw Deseada:  57.6699299613 Control: 1608.01327788 Error:  -43.2020729972 
yaw:  14.4678569641 Yaw vel:  0.608 Yaw acc:  -9.9 yaw Deseada:  62.5491446759 Control: 1620.22518453 Error:  -48.0812877118 
yaw:  18.4557363355 Yaw vel:  0.765 Yaw acc:  -10.01 yaw Deseada:  67.3934404991 Control: 1622.34811525 Error:  -48.9377041635 
yaw:  18.4557363355 Yaw vel:  0.765 Yaw acc:  -10.01 yaw Deseada:  72.1576347163 Control: 1634.27618697 Error:  -53.7018983808 
yaw:  23.4275437305 Yaw vel:  0.925 Yaw acc:  -10.03 yaw Deseada:  76.7963553203 Control: 1633.42053016 Error:  -53.3688115898 
yaw:  23.4275437305 Yaw vel:  0.925 Yaw acc:  -10.03 yaw Deseada:  81.2646180197 Control: 1644.61278888 Error:  -57.8370742892 
yaw:  29.2997561807 Yaw vel:  1.079 Yaw acc:  -9.99 yaw Deseada:  85.5184002009 Control: 1640.53932966 Error:  -56.2186440201 
yaw:  29.2997561807 Yaw vel:  1.079 Yaw acc:  -9.99 yaw Deseada:  89.5152042835 Control: 1650.55659689 Error:  -60.2154481027 
yaw:  36.0287048718 Yaw vel:  1.222 Yaw acc:  -10.01 yaw Deseada:  93.2146030512 Control: 1642.95112133 Error:  -57.1858981794 
yaw:  36.0287048718 Yaw vel:  1.222 Yaw acc:  -10.01 yaw Deseada:  96.5787597716 Control: 1651.39026385 Error:  -60.5500548998 
yaw:  43.5318930713 Yaw vel:  1.356 Yaw acc:  -10.15 yaw Deseada:  99.5729162483 Control: 1640.08228656 Error:  -56.041023177 
yaw:  43.5318930713 Yaw vel:  1.356 Yaw acc:  -10.15 yaw Deseada:  102.165842369 Control: 1646.59652859 Error:  -58.6339492981 
yaw:  51.4709736983 Yaw vel:  1.393 Yaw acc:  -9.97 yaw Deseada:  104.330241221 Control: 1632.12221518 Error:  -52.8592675226 
yaw:  51.4709736983 Yaw vel:  1.393 Yaw acc:  -9.97 yaw Deseada:  106.043104416 Control: 1636.4380239 Error:  -54.5721307174 
yaw:  59.3637627183 Yaw vel:  1.398 Yaw acc:  -10.04 yaw Deseada:  107.286012946 Control: 1619.77574742 Error:  -47.922250228 
yaw:  59.3637627183 Yaw vel:  1.398 Yaw acc:  -10.04 yaw Deseada:  108.04537958 Control: 1621.70745351 Error:  -48.6816168619 
yaw:  67.5201219081 Yaw vel:  1.382 Yaw acc:  -10.02 yaw Deseada:  108.312629591 Control: 1601.94583377 Error:  -40.7925076832 
yaw:  67.5201219081 Yaw vel:  1.382 Yaw acc:  -10.02 yaw Deseada:  108.084317426 Control: 1601.40946344 Error:  -40.5641955182 
yaw:  75.2104231399 Yaw vel:  1.3 Yaw acc:  -10.1 yaw Deseada:  107.362177752 Control: 1580.34161176 Error:  -32.1517546119 
yaw:  75.2104231399 Yaw vel:  1.3 Yaw acc:  -10.1 yaw Deseada:  106.153110189 Control: 1577.3512893 Error:  -30.9426870487 
yaw:  82.2483798343 Yaw vel:  1.175 Yaw acc:  -10.18 yaw Deseada:  104.469097914 Control: 1555.51264226 Error:  -22.2207180802 
yaw:  82.2483798343 Yaw vel:  1.175 Yaw acc:  -10.18 yaw Deseada:  102.327061183 Control: 1550.1870892 Error:  -20.0786813491 
yaw:  88.4681823189 Yaw vel:  1.026 Yaw acc:  -10.0 yaw Deseada:  99.7486476706 Control: 1528.16167999 Error:  -11.2804653517 
yaw:  88.4681823189 Yaw vel:  1.026 Yaw acc:  -10.0 yaw Deseada:  96.7599623786 Control: 1520.71603995 Error:  -8.29178005967 
yaw:  93.8092673065 Yaw vel:  0.867 Yaw acc:  -10.07 yaw Deseada:  93.3912406386 Control: 1498.91585838 Error:  0.41802666785 
