yaw:  -74.4474978398 Yaw vel:  -0.902 Yaw acc:  -9.86 yaw Deseada:  -80.2459408938 Control: 1485.53144316 Error:  5.79844305394 
yaw:  -79.311138944 Yaw vel:  -0.733 Yaw acc:  -9.92 yaw Deseada:  -77.1427887398 Control: 1505.50057001 Error:  -2.16835020417 
yaw:  -79.311138944 Yaw vel:  -0.733 Yaw acc:  -9.92 yaw Deseada:  -73.7234841968 Control: 1514.00332991 Error:  -5.58765474719 
yaw:  -83.2505325101 Yaw vel:  -0.583 Yaw acc:  -9.92 yaw Deseada:  -70.025065999 Control: 1533.14001894 Error:  -13.225466511 
yaw:  -83.2505325101 Yaw vel:  -0.583 Yaw acc:  -9.92 yaw Deseada:  -66.0873863949 Control: 1542.94721585 Error:  -17.1631461151 
yaw:  -86.3268223915 Yaw vel:  -0.463 Yaw acc:  -9.94 yaw Deseada:  -61.9526072192 Control: 1561.00757658 Error:  -24.3742151723 
yaw:  -86.3268223915 Yaw vel:  -0.463 Yaw acc:  -9.94 yaw Deseada:  -57.6646665193 Control: 1571.69821199 Error:  -28.6621558722 
yaw:  -88.8026225317 Yaw vel:  -0.333 Yaw acc:  -9.79 yaw Deseada:  -53.2687227306 Control: 1588.9033526 Error:  -35.5338998011 
yaw:  -88.8026225317 Yaw vel:  -0.333 Yaw acc:  -9.79 yaw Deseada:  -48.8105836886 Control: 1600.02458951 Error:  -39.9920388431 
yaw:  -90.0223850344 Yaw vel:  -0.333 Yaw acc:  -9.79 yaw Deseada:  -44.3361279675 Control: 1614.27245229 Error:  -45.6862570669 
yaw:  -90.0223850344 Yaw vel:  -0.091 Yaw acc:  -9.82 yaw Deseada:  -39.890726133 Control: 1625.37348304 Error:  -50.1316589014 
yaw:  -89.5636763599 Yaw vel:  0.252 Yaw acc:  -9.63 yaw Deseada:  -35.5186694993 Control: 1635.15153358 Error:  -54.0450068606 
yaw:  -89.5636763599 Yaw vel:  0.252 Yaw acc:  -9.63 yaw Deseada:  -31.262613878 Control: 1645.79507536 Error:  -58.301062482 
yaw:  -87.0691136901 Yaw vel:  0.252 Yaw acc:  -9.63 yaw Deseada:  -27.1630456103 Control: 1649.78116162 Error:  -59.9060680798 
yaw:  -87.0691136901 Yaw vel:  0.566 Yaw acc:  -9.6 yaw Deseada:  -23.2577768782 Control: 1659.56723913 Error:  -63.8113368119 
yaw:  -82.7559175311 Yaw vel:  0.861 Yaw acc:  -9.66 yaw Deseada:  -19.5814769016 Control: 1657.92976009 Error:  -63.1744406296 
yaw:  -82.7559175311 Yaw vel:  0.861 Yaw acc:  -9.66 yaw Deseada:  -16.1652451558 Control: 1666.51068457 Error:  -66.5906723753 
yaw:  -76.6219841847 Yaw vel:  0.861 Yaw acc:  -9.66 yaw Deseada:  -13.0362321889 Control: 1658.93448028 Error:  -63.5857519958 
yaw:  -76.6219841847 Yaw vel:  1.1 Yaw acc:  -9.88 yaw Deseada:  -10.2173129868 Control: 1666.03971764 Error:  -66.404671198 
yaw:  -69.9174978162 Yaw vel:  1.298 Yaw acc:  -9.79 yaw Deseada:  -7.72681714244 Control: 1655.43479923 Error:  -62.1906806738 
yaw:  -69.9174978162 Yaw vel:  1.298 Yaw acc:  -9.79 yaw Deseada:  -5.57831933511 Control: 1660.86930304 Error:  -64.3391784811 
yaw:  -62.022714381 Yaw vel:  1.413 Yaw acc:  -10.05 yaw Deseada:  -3.78049282671 Control: 1645.54496803 Error:  -58.2422215543 
yaw:  -62.022714381 Yaw vel:  1.413 Yaw acc:  -10.05 yaw Deseada:  -2.3370278534 Control: 1649.22855538 Error:  -59.6856865276 
yaw:  -53.7850281287 Yaw vel:  1.436 Yaw acc:  -9.97 yaw Deseada:  -1.2466159315 Control: 1631.27505458 Error:  -52.5384121973 
yaw:  -53.7850281287 Yaw vel:  1.436 Yaw acc:  -9.97 yaw Deseada:  -0.50300022756 Control: 1633.21245178 Error:  -53.2820279012 
yaw:  -45.6339179393 Yaw vel:  1.402 Yaw acc:  -10.18 yaw Deseada:  -0.0950912702737 Control: 1613.77022379 Error:  -45.538826669 
yaw:  -45.6339179393 Yaw vel:  1.402 Yaw acc:  -10.18 yaw Deseada:  -0.00714641930786 Control: 1614.06780127 Error:  -45.62677152 
yaw:  -37.7900603946 Yaw vel:  1.344 Yaw acc:  -10.13 yaw Deseada:  -0.219010665031 Control: 1593.84773287 Error:  -37.5710497295 
yaw:  -37.7900603946 Yaw vel:  1.344 Yaw acc:  -10.13 yaw Deseada:  -0.706415523721 Control: 1592.70428001 Error:  -37.0836448708 
yaw:  -30.4297699978 Yaw vel:  1.23 Yaw acc:  -10.09 yaw Deseada:  -1.44133202654 Control: 1572.39086493 Error:  -28.9884379712 
yaw:  -30.4297699978 Yaw vel:  1.23 Yaw acc:  -10.09 yaw Deseada:  -2.39237308714 Control: 1570.08406981 Error:  -28.0373969106 
yaw:  -23.9737095622 Yaw vel:  1.088 Yaw acc:  -9.95 yaw Deseada:  -3.52523988163 Control: 1551.0460115 Error:  -20.4484696806 
yaw:  -23.9737095622 Yaw vel:  1.088 Yaw acc:  -9.95 yaw Deseada:  -4.80320629481 Control: 1547.91360504 Error:  -19.1705032674 
yaw:  -18.1755431928 Yaw vel:  0.919 Yaw acc:  -10.07 yaw Deseada:  -6.18763498477 Control: 1529.89867918 Error:  -11.987908208 
yaw:  -18.1755431928 Yaw vel:  0.919 Yaw acc:  -10.07 yaw Deseada:  -7.63851820212 Control: 1526.32820677 Error:  -10.5370249906 
yaw:  -13.4023559913 Yaw vel:  0.768 Yaw acc:  -10.08 yaw Deseada:  -9.11503617453 Control: 1510.65648248 Error:  -4.28731981677 
yaw:  -13.4023559913 Yaw vel:  0.768 Yaw acc:  -10.08 yaw Deseada:  -10.5761256368 Control: 1507.05112873 Error:  -2.82623035446 
yaw:  -9.39410643443 Yaw vel:  0.608 Yaw acc:  -9.94 yaw Deseada:  -11.9810509549 Control: 1493.4791312 Error:  2.58694452044 
yaw:  -9.39410643443 Yaw vel:  0.608 Yaw acc:  -9.94 yaw Deseada:  -13.2899702582 Control: 1490.24740646 Error:  3.89586382381 
yaw:  -6.38500981963 Yaw vel:  0.498 Yaw acc:  -9.93 yaw Deseada:  -14.4644890658 Control: 1479.75997542 Error:  8.07947924622 
yaw:  -6.38500981963 Yaw vel:  0.498 Yaw acc:  -9.93 yaw Deseada:  -15.4681940541 Control: 1477.28212791 Error:  9.08318423451 
yaw:  -3.88413477437 Yaw vel:  0.406 Yaw acc:  -9.87 yaw Deseada:  -16.267159883 Control: 1469.00986229 Error:  12.3830251087 
yaw:  -3.88413477437 Yaw vel:  0.406 Yaw acc:  -9.87 yaw Deseada:  -16.8304223522 Control: 1467.62872254 Error:  12.9462875778 
yaw:  -1.8062341345 Yaw vel:  0.348 Yaw acc:  -9.95 yaw Deseada:  -17.1304116069 Control: 1461.66609802 Error:  15.3241774724 
yaw:  -1.8062341345 Yaw vel:  0.348 Yaw acc:  -9.95 yaw Deseada:  -17.143339643 Control: 1461.65710873 Error:  15.3371055085 
yaw:  -0.10006721389 Yaw vel:  0.28 Yaw acc:  -9.77 yaw Deseada:  -16.849536966 Control: 1458.11240156 Error:  16.7494697521 
yaw:  -0.10006721389 Yaw vel:  0.28 Yaw acc:  -9.77 yaw Deseada:  -16.2337339331 Control: 1459.67190222 Error:  16.1336667192 
yaw:  1.10802583728 Yaw vel:  0.186 Yaw acc:  -9.69 yaw Deseada:  -15.2852830403 Control: 1459.01416976 Error:  16.3933088775 
yaw:  1.10802583728 Yaw vel:  0.186 Yaw acc:  -9.69 yaw Deseada:  -13.9983191982 Control: 1462.2468127 Error:  15.1063450354 
yaw:  1.83901882907 Yaw vel:  0.115 Yaw acc:  -9.74 yaw Deseada:  -12.3718558629 Control: 1464.48162985 Error:  14.2108746919 
yaw:  1.83901882907 Yaw vel:  0.115 Yaw acc:  -9.74 yaw Deseada:  -10.4098157359 Control: 1469.39722501 Error:  12.248834565 
yaw:  2.17373246279 Yaw vel:  0.038 Yaw acc:  -9.79 yaw Deseada:  -8.12099561608 Control: 1474.28240683 Error:  10.2947280789 
yaw:  2.17373246279 Yaw vel:  0.038 Yaw acc:  -9.79 yaw Deseada:  -5.51896585558 Control: 1480.79384794 Error:  7.69269831838 
yaw:  2.27225111138 Yaw vel:  0.01 Yaw acc:  -9.76 yaw Deseada:  -2.62190574153 Control: 1487.79212548 Error:  4.89415685291 
yaw:  2.27225111138 Yaw vel:  0.01 Yaw acc:  -9.76 yaw Deseada:  0.547623029736 Control: 1495.71958506 Error:  1.72462808164 
yaw:  2.38899547944 Yaw vel:  0.033 Yaw acc:  -9.82 yaw Deseada:  3.96296179667 Control: 1503.9673291 Error:  -1.57396631723 
yaw:  2.38899547944 Yaw vel:  0.033 Yaw acc:  -9.82 yaw Deseada:  7.59369552619 Control: 1513.04741548 Error:  -5.20470004675 
yaw:  2.69275811093 Yaw vel:  0.033 Yaw acc:  -9.82 yaw Deseada:  11.4060440575 Control: 1521.81766907 Error:  -8.71328594653 
yaw:  2.69275811093 Yaw vel:  0.069 Yaw acc:  -9.9 yaw Deseada:  15.3632988252 Control: 1531.71519918 Error:  -12.6705407143 
yaw:  3.08916414767 Yaw vel:  0.082 Yaw acc:  -9.99 yaw Deseada:  19.4262992889 Control: 1540.87882013 Error:  -16.3371351412 
yaw:  3.08916414767 Yaw vel:  0.082 Yaw acc:  -9.99 yaw Deseada:  23.5539427679 Control: 1551.20244011 Error:  -20.4647786202 
yaw:  3.57452656816 Yaw vel:  0.082 Yaw acc:  -9.99 yaw Deseada:  27.703720939 Control: 1560.35892332 Error:  -24.1291943709 
yaw:  3.57452656816 Yaw vel:  0.098 Yaw acc:  -9.92 yaw Deseada:  31.8322758995 Control: 1570.68484936 Error:  -28.2577493314 
yaw:  4.36849849313 Yaw vel:  0.206 Yaw acc:  -9.94 yaw Deseada:  35.895968437 Control: 1578.85072047 Error:  -31.5274699438 
yaw:  4.36849849313 Yaw vel:  0.206 Yaw acc:  -9.94 yaw Deseada:  39.851450986 Control: 1588.74613514 Error:  -35.4829524929 
yaw:  5.99435672316 Yaw vel:  0.206 Yaw acc:  -9.94 yaw Deseada:  43.6562376865 Control: 1594.17604353 Error:  -37.6618809633 
yaw:  5.99435672316 Yaw vel:  0.369 Yaw acc:  -9.85 yaw Deseada:  47.2692639961 Control: 1603.22264377 Error:  -41.2749072729 
yaw:  8.76444837032 Yaw vel:  0.369 Yaw acc:  -9.85 yaw Deseada:  50.6514284448 Control: 1604.72344111 Error:  -41.8869800745 
yaw:  8.76444837032 Yaw vel:  0.585 Yaw acc:  -9.82 yaw Deseada:  53.7661093548 Control: 1612.53462879 Error:  -45.0016609845 
yaw:  12.9118510787 Yaw vel:  0.815 Yaw acc:  -9.97 yaw Deseada:  56.5796496771 Control: 1609.15644926 Error:  -43.6677985984 
yaw:  12.9118510787 Yaw vel:  0.815 Yaw acc:  -9.97 yaw Deseada:  59.0618035169 Control: 1615.39915248 Error:  -46.1499524382 
yaw:  18.2103874028 Yaw vel:  0.989 Yaw acc:  -9.84 yaw Deseada:  61.1861384246 Control: 1607.40834919 Error:  -42.9757510218 
yaw:  18.2103874028 Yaw vel:  0.989 Yaw acc:  -9.84 yaw Deseada:  62.9303881108 Control: 1611.81704656 Error:  -44.720000708 
yaw:  24.2100016641 Yaw vel:  1.086 Yaw acc:  -9.95 yaw Deseada:  64.2767508996 Control: 1600.12141638 Error:  -40.0667492355 
yaw:  24.2100016641 Yaw vel:  1.086 Yaw acc:  -9.95 yaw Deseada:  65.2121299491 Control: 1602.51445527 Error:  -41.002128285 
yaw:  30.6171801433 Yaw vel:  1.119 Yaw acc:  -9.96 yaw Deseada:  65.7283120352 Control: 1587.72031919 Error:  -35.1111318918 
yaw:  30.6171801433 Yaw vel:  1.119 Yaw acc:  -9.96 yaw Deseada:  65.8220825078 Control: 1588.01317104 Error:  -35.2049023644 
yaw:  37.3724114023 Yaw vel:  1.111 Yaw acc:  -10.12 yaw Deseada:  65.495274869 Control: 1570.2380656 Error:  -28.1228634667 
yaw:  37.3724114023 Yaw vel:  1.111 Yaw acc:  -10.12 yaw Deseada:  64.7547542859 Control: 1568.44863497 Error:  -27.3823428836 
yaw:  43.2492052019 Yaw vel:  1.048 Yaw acc:  -10.1 yaw Deseada:  63.612335224 Control: 1550.83938944 Error:  -20.3631300221 
yaw:  43.2492052019 Yaw vel:  1.048 Yaw acc:  -10.1 yaw Deseada:  62.0846342546 Control: 1547.07368276 Error:  -18.8354290527 
yaw:  48.8861125126 Yaw vel:  0.93 Yaw acc:  -10.04 yaw Deseada:  60.1928599483 Control: 1528.19351346 Error:  -11.3067474357 
yaw:  48.8861125126 Yaw vel:  0.93 Yaw acc:  -10.04 yaw Deseada:  57.9625425948 Control: 1522.66935134 Error:  -9.07643008223 
yaw:  53.7049612362 Yaw vel:  0.772 Yaw acc:  -9.95 yaw Deseada:  55.4232072849 Control: 1504.22396776 Error:  -1.71824604871 
yaw:  53.7049612362 Yaw vel:  0.772 Yaw acc:  -9.95 yaw Deseada:  52.607994639 Control: 1497.2301804 Error:  1.09696659725 
yaw:  57.5598346264 Yaw vel:  0.629 Yaw acc:  -9.88 yaw Deseada:  49.5532341566 Control: 1479.91626269 Error:  8.00660046978 
yaw:  57.5598346264 Yaw vel:  0.629 Yaw acc:  -9.88 yaw Deseada:  46.297975789 Control: 1471.81368697 Error:  11.2618588374 
yaw:  60.762646932 Yaw vel:  0.629 Yaw acc:  -9.88 yaw Deseada:  42.8834858862 Control: 1455.23774761 Error:  17.8791610458 
yaw:  60.762646932 Yaw vel:  0.507 Yaw acc:  -9.89 yaw Deseada:  39.3527141432 Control: 1446.44084426 Error:  21.4099327888 
yaw:  63.3097200961 Yaw vel:  0.42 Yaw acc:  -9.93 yaw Deseada:  35.7497385522 Control: 1431.0402789 Error:  27.559981544 
yaw:  63.3097200961 Yaw vel:  0.42 Yaw acc:  -9.93 yaw Deseada:  32.1191956581 Control: 1421.98841809 Error:  31.190524438 
yaw:  65.1782617776 Yaw vel:  0.252 Yaw acc:  -9.91 yaw Deseada:  28.5057036095 Control: 1408.26536372 Error:  36.672558168 
yaw:  65.1782617776 Yaw vel:  0.252 Yaw acc:  -9.91 yaw Deseada:  24.9532855932 Control: 1399.40307004 Error:  40.2249761844 
yaw:  65.7059895136 Yaw vel:  0.252 Yaw acc:  -9.91 yaw Deseada:  21.5048012349 Control: 1389.45843779 Error:  44.2011882787 
yaw:  65.7059895136 Yaw vel:  -0.008 Yaw acc:  -9.89 yaw Deseada:  18.2013934457 Control: 1381.20645866 Error:  47.5045960679 
yaw:  64.5001810873 Yaw vel:  -0.339 Yaw acc:  -9.73 yaw Deseada:  15.0819579882 Control: 1376.43588137 Error:  49.4182230991 
yaw:  64.5001810873 Yaw vel:  -0.339 Yaw acc:  -9.73 yaw Deseada:  12.1826427384 Control: 1369.17804183 Error:  52.317538349 
yaw:  61.2372904378 Yaw vel:  -0.657 Yaw acc:  -9.77 yaw Deseada:  9.53638322783 Control: 1370.75370901 Error:  51.70090721 
yaw:  61.2372904378 Yaw vel:  -0.657 Yaw acc:  -9.77 yaw Deseada:  7.17248057192 Control: 1364.8150693 Error:  54.0648098659 
yaw:  56.6020508595 Yaw vel:  -0.89 Yaw acc:  -9.83 yaw Deseada:  5.11622733015 Control: 1371.31042329 Error:  51.4858235293 
yaw:  56.6020508595 Yaw vel:  -0.89 Yaw acc:  -9.83 yaw Deseada:  3.38858621385 Control: 1366.94960848 Error:  53.2134646456 
yaw:  50.7804074223 Yaw vel:  -1.042 Yaw acc:  -9.92 yaw Deseada:  2.00592585832 Control: 1378.10676785 Error:  48.774481564 
yaw:  50.7804074223 Yaw vel:  -1.042 Yaw acc:  -9.92 yaw Deseada:  0.979817124155 Control: 1375.48859417 Error:  49.8005902981 
yaw:  44.232919782 Yaw vel:  -1.042 Yaw acc:  -9.92 yaw Deseada:  0.316892594064 Control: 1390.26686105 Error:  43.916027188 
yaw:  44.232919782 Yaw vel:  -1.138 Yaw acc:  -9.99 yaw Deseada:  0.0187710975505 Control: 1389.4617451 Error:  44.2141486845 
yaw:  37.3664964585 Yaw vel:  -1.167 Yaw acc:  -10.07 yaw Deseada:  0.0820482384141 Control: 1406.85587623 Error:  37.2844482201 
yaw:  37.3664964585 Yaw vel:  -1.167 Yaw acc:  -10.07 yaw Deseada:  0.498353029103 Control: 1407.83366499 Error:  36.8681434294 
yaw:  30.4352785453 Yaw vel:  -1.142 Yaw acc:  -10.04 yaw Deseada:  1.25446986409 Control: 1427.12225206 Error:  29.1808086813 
yaw:  30.4352785453 Yaw vel:  -1.142 Yaw acc:  -10.04 yaw Deseada:  2.33252420265 Control: 1429.75352677 Error:  28.1027543427 
yaw:  24.0946961181 Yaw vel:  -1.008 Yaw acc:  -9.92 yaw Deseada:  3.71022949108 Control: 1449.11335826 Error:  20.384466627 
yaw:  24.0946961181 Yaw vel:  -1.008 Yaw acc:  -9.92 yaw Deseada:  5.36119204707 Control: 1453.18217575 Error:  18.733504071 
yaw:  18.6427708207 Yaw vel:  -0.832 Yaw acc:  -9.91 yaw Deseada:  7.25526986427 Control: 1471.60213217 Error:  11.3875009564 
yaw:  18.6427708207 Yaw vel:  -0.832 Yaw acc:  -9.91 yaw Deseada:  9.35898058468 Control: 1476.81081744 Error:  9.28379023598 
yaw:  14.1971099729 Yaw vel:  -0.672 Yaw acc:  -9.87 yaw Deseada:  11.6359532382 Control: 1493.66193587 Error:  2.56115673475 
yaw:  14.1971099729 Yaw vel:  -0.672 Yaw acc:  -9.87 yaw Deseada:  14.0474177718 Control: 1499.64901626 Error:  0.149692201154 
yaw:  10.6156191731 Yaw vel:  -0.531 Yaw acc:  -9.8 yaw Deseada:  16.5527258938 Control: 1514.90142532 Error:  -5.93710672064 
yaw:  10.6156191731 Yaw vel:  -0.531 Yaw acc:  -9.8 yaw Deseada:  19.1098963454 Control: 1521.26032848 Error:  -8.49427717229 
yaw:  7.81905883541 Yaw vel:  -0.391 Yaw acc:  -9.92 yaw Deseada:  21.6761773917 Control: 1534.69444494 Error:  -13.8571185563 
yaw:  7.81905883541 Yaw vel:  -0.391 Yaw acc:  -9.92 yaw Deseada:  24.208619097 Control: 1540.99828231 Error:  -16.3895602616 
yaw:  5.79866241193 Yaw vel:  -0.306 Yaw acc:  -9.92 yaw Deseada:  26.6646478232 Control: 1552.2080475 Error:  -20.8659854113 
yaw:  5.79866241193 Yaw vel:  -0.306 Yaw acc:  -9.92 yaw Deseada:  29.0026353607 Control: 1558.03242744 Error:  -23.2039729488 
yaw:  4.21182121065 Yaw vel:  -0.203 Yaw acc:  -9.84 yaw Deseada:  31.182455174 Control: 1567.46281441 Error:  -26.9706339633 
yaw:  4.21182121065 Yaw vel:  -0.203 Yaw acc:  -9.84 yaw Deseada:  33.1660184161 Control: 1572.40456574 Error:  -28.9541972055 
yaw:  3.53800853488 Yaw vel:  -0.035 Yaw acc:  -9.96 yaw Deseada:  34.9177826354 Control: 1578.47275063 Error:  -31.3797741005 
yaw:  3.53800853488 Yaw vel:  -0.035 Yaw acc:  -9.96 yaw Deseada:  36.4052264574 Control: 1582.18233799 Error:  -32.8672179225 
yaw:  3.90504539851 Yaw vel:  0.173 Yaw acc:  -9.82 yaw Deseada:  37.5992839802 Control: 1584.24354094 Error:  -33.6942385817 
yaw:  3.90504539851 Yaw vel:  0.173 Yaw acc:  -9.82 yaw Deseada:  38.4747331499 Control: 1586.43262638 Error:  -34.5696877514 
yaw:  5.4564251114 Yaw vel:  0.173 Yaw acc:  -9.82 yaw Deseada:  39.0105329967 Control: 1583.87552015 Error:  -33.5541078853 
yaw:  5.4564251114 Yaw vel:  0.366 Yaw acc:  -9.78 yaw Deseada:  39.1901052851 Control: 1584.33592378 Error:  -33.7336801737 
yaw:  8.01964185453 Yaw vel:  0.514 Yaw acc:  -9.76 yaw Deseada:  39.0015568708 Control: 1577.42838749 Error:  -30.9819150163 
yaw:  8.01964185453 Yaw vel:  0.514 Yaw acc:  -9.76 yaw Deseada:  38.4378398378 Control: 1576.04008846 Error:  -30.4181979832 
yaw:  11.2445190863 Yaw vel:  0.604 Yaw acc:  -9.81 yaw Deseada:  37.496847315 Control: 1565.59087935 Error:  -26.2523282287 
yaw:  11.2445190863 Yaw vel:  0.604 Yaw acc:  -9.81 yaw Deseada:  36.1814437217 Control: 1562.32970389 Error:  -24.9369246355 
yaw:  14.7531778714 Yaw vel:  0.623 Yaw acc:  -9.84 yaw Deseada:  34.4994290571 Control: 1549.31589299 Error:  -19.7462511857 
yaw:  14.7531778714 Yaw vel:  0.623 Yaw acc:  -9.84 yaw Deseada:  32.4634377233 Control: 1544.2561478 Error:  -17.7102598519 
yaw:  18.1835345141 Yaw vel:  0.589 Yaw acc:  -10.01 yaw Deseada:  30.0907732357 Control: 1529.71253005 Error:  -11.9072387216 
yaw:  18.1835345141 Yaw vel:  0.589 Yaw acc:  -10.01 yaw Deseada:  27.4031810235 Control: 1523.02338948 Error:  -9.21964650946 
yaw:  21.3781762059 Yaw vel:  0.52 Yaw acc:  -10.01 yaw Deseada:  24.4265623397 Control: 1507.56191021 Error:  -3.04838613378 
yaw:  21.3781762059 Yaw vel:  0.52 Yaw acc:  -10.01 yaw Deseada:  21.1906330809 Control: 1499.50018623 Error:  0.187543125017 
yaw:  23.9900866483 Yaw vel:  0.441 Yaw acc:  -9.94 yaw Deseada:  17.7285320451 Control: 1484.28802604 Error:  6.26155460321 
yaw:  23.9900866483 Yaw vel:  0.441 Yaw acc:  -9.94 yaw Deseada:  14.0763838223 Control: 1475.18082756 Error:  9.91370282599 
yaw:  26.2163936384 Yaw vel:  0.371 Yaw acc:  -9.97 yaw Deseada:  10.2728221153 Control: 1460.08344263 Error:  15.9435715232 
yaw:  26.2163936384 Yaw vel:  0.371 Yaw acc:  -9.97 yaw Deseada:  6.35847980892 Control: 1450.31781725 Error:  19.8579138295 
yaw:  28.0888131598 Yaw vel:  0.322 Yaw acc:  -9.87 yaw Deseada:  2.37545254764 Control: 1435.66067252 Error:  25.7133606121 
yaw:  28.0888131598 Yaw vel:  0.322 Yaw acc:  -9.87 yaw Deseada:  -1.63325707083 Control: 1425.65654903 Error:  29.7220702306 
yaw:  29.5621208222 Yaw vel:  0.221 Yaw acc:  -9.82 yaw Deseada:  -5.62430731923 Control: 1411.98177224 Error:  35.1864281415 
yaw:  29.5621208222 Yaw vel:  0.221 Yaw acc:  -9.82 yaw Deseada:  -9.55458965847 Control: 1402.1707211 Error:  39.1167104807 
yaw:  29.946715114 Yaw vel:  -0.022 Yaw acc:  -9.87 yaw Deseada:  -13.3817979653 Control: 1391.63854112 Error:  43.3285130794 
yaw:  29.946715114 Yaw vel:  -0.022 Yaw acc:  -9.87 yaw Deseada:  -17.0649871276 Control: 1382.4356218 Error:  47.0117022416 
yaw:  28.6875185141 Yaw vel:  -0.35 Yaw acc:  -9.82 yaw Deseada:  -20.565113604 Control: 1376.84705717 Error:  49.2526321182 
yaw:  28.6875185141 Yaw vel:  -0.35 Yaw acc:  -9.82 yaw Deseada:  -23.8455507863 Control: 1368.63606464 Error:  52.5330693004 
yaw:  25.4848223217 Yaw vel:  -0.66 Yaw acc:  -9.75 yaw Deseada:  -26.8725723311 Control: 1369.10818699 Error:  52.3573946528 
yaw:  25.4848223217 Yaw vel:  -0.66 Yaw acc:  -9.75 yaw Deseada:  -29.6157970559 Control: 1362.22232561 Error:  55.1006193776 
yaw:  20.6125717641 Yaw vel:  -0.66 Yaw acc:  -9.75 yaw Deseada:  -32.0485894999 Control: 1368.3703224 Error:  52.661161264 
yaw:  20.6125717641 Yaw vel:  -0.9 Yaw acc:  -9.71 yaw Deseada:  -34.1484108359 Control: 1363.07755789 Error:  54.7609826 
yaw:  14.5546345175 Yaw vel:  -1.077 Yaw acc:  -9.82 yaw Deseada:  -35.8971154779 Control: 1373.91162627 Error:  50.4517499954 
yaw:  14.5546345175 Yaw vel:  -1.077 Yaw acc:  -9.82 yaw Deseada:  -37.2811894458 Control: 1370.39727515 Error:  51.8358239633 
yaw:  7.74122797604 Yaw vel:  -1.182 Yaw acc:  -9.81 yaw Deseada:  -38.2919273179 Control: 1384.9722877 Error:  46.033155294 
yaw:  7.74122797604 Yaw vel:  -1.182 Yaw acc:  -9.81 yaw Deseada:  -38.925545417 Control: 1383.32704353 Error:  46.666773393 
yaw:  0.634456058559 Yaw vel:  -1.205 Yaw acc:  -9.96 yaw Deseada:  -39.1832297141 Control: 1400.52087034 Error:  39.8176857726 
yaw:  0.634456058559 Yaw vel:  -1.205 Yaw acc:  -9.96 yaw Deseada:  -39.0711178031 Control: 1400.73713037 Error:  39.7055738616 
yaw:  -6.38257997983 Yaw vel:  -1.163 Yaw acc:  -10.06 yaw Deseada:  -38.6002151657 Control: 1419.52702256 Error:  32.2176351859 
yaw:  -6.38257997983 Yaw vel:  -1.163 Yaw acc:  -10.06 yaw Deseada:  -37.78624682 Control: 1421.49856045 Error:  31.4036668402 
