yaw:  -23.8463316568 Yaw vel:  -0.311 Yaw acc:  -9.9 yaw Deseada:  -32.490785219 Control: 1478.39928865 Error:  8.64445356215 
yaw:  -25.5791386964 Yaw vel:  -0.311 Yaw acc:  -9.9 yaw Deseada:  -28.8749711551 Control: 1491.7769678 Error:  3.29583245869 
yaw:  -25.5791386964 Yaw vel:  -0.269 Yaw acc:  -9.94 yaw Deseada:  -25.055303438 Control: 1501.32140521 Error:  -0.523835258448 
yaw:  -27.0677818411 Yaw vel:  -0.225 Yaw acc:  -9.89 yaw Deseada:  -21.0780633589 Control: 1514.99120449 Error:  -5.98971848227 
yaw:  -27.0677818411 Yaw vel:  -0.225 Yaw acc:  -9.89 yaw Deseada:  -16.9914142833 Control: 1525.20355932 Error:  -10.0763675579 
yaw:  -28.3043892979 Yaw vel:  -0.183 Yaw acc:  -9.87 yaw Deseada:  -12.8447145801 Control: 1538.6658362 Error:  -15.4596747178 
yaw:  -28.3043892979 Yaw vel:  -0.183 Yaw acc:  -9.87 yaw Deseada:  -8.68781360017 Control: 1549.05429431 Error:  -19.6165756977 
yaw:  -29.36869328 Yaw vel:  -0.183 Yaw acc:  -9.87 yaw Deseada:  -4.57034082575 Control: 1562.01190395 Error:  -24.7983524543 
yaw:  -29.36869328 Yaw vel:  -0.154 Yaw acc:  -9.79 yaw Deseada:  -0.540998411822 Control: 1572.0816952 Error:  -28.8276948682 
yaw:  -30.1800548666 Yaw vel:  -0.118 Yaw acc:  -9.76 yaw Deseada:  3.35313271018 Control: 1583.84751601 Error:  -33.5331875768 
yaw:  -30.1800548666 Yaw vel:  -0.118 Yaw acc:  -9.76 yaw Deseada:  7.06726319005 Control: 1593.12977623 Error:  -37.2473180567 
yaw:  -30.6389274656 Yaw vel:  -0.033 Yaw acc:  -9.9 yaw Deseada:  10.5595324403 Control: 1603.00836224 Error:  -41.1984599059 
yaw:  -30.6389274656 Yaw vel:  -0.033 Yaw acc:  -9.9 yaw Deseada:  13.7916034819 Control: 1611.08631626 Error:  -44.4305309476 
yaw:  -30.4909992286 Yaw vel:  0.084 Yaw acc:  -9.81 yaw Deseada:  16.7292069029 Control: 1618.05913608 Error:  -47.2202061315 
yaw:  -30.4909992286 Yaw vel:  0.084 Yaw acc:  -9.81 yaw Deseada:  19.3426261109 Control: 1624.5921386 Error:  -49.8336253395 
yaw:  -29.5755523892 Yaw vel:  0.24 Yaw acc:  -9.91 yaw Deseada:  21.6071169056 Control: 1627.96084124 Error:  -51.1826692948 
yaw:  -29.5755523892 Yaw vel:  0.24 Yaw acc:  -9.91 yaw Deseada:  23.5032553406 Control: 1632.70287703 Error:  -53.0788077298 
yaw:  -27.783978402 Yaw vel:  0.24 Yaw acc:  -9.91 yaw Deseada:  25.0172088774 Control: 1632.00211064 Error:  -52.8011872795 
yaw:  -27.783978402 Yaw vel:  0.383 Yaw acc:  -9.85 yaw Deseada:  26.140926936 Control: 1634.81573411 Error:  -53.924905338 
yaw:  -25.2243940389 Yaw vel:  0.502 Yaw acc:  -9.87 yaw Deseada:  26.8722481067 Control: 1630.23595909 Error:  -52.0966421455 
yaw:  -25.2243940389 Yaw vel:  0.502 Yaw acc:  -9.87 yaw Deseada:  27.2149224875 Control: 1631.0993495 Error:  -52.4393165264 
yaw:  -22.0944991253 Yaw vel:  0.582 Yaw acc:  -9.88 yaw Deseada:  27.17854883 Control: 1623.17284343 Error:  -49.2730479553 
yaw:  -22.0944991253 Yaw vel:  0.582 Yaw acc:  -9.88 yaw Deseada:  26.7784274039 Control: 1622.181081 Error:  -48.8729265292 
yaw:  -18.6190990925 Yaw vel:  0.582 Yaw acc:  -9.88 yaw Deseada:  26.0353307024 Control: 1611.62305176 Error:  -44.6544297949 
yaw:  -18.6190990925 Yaw vel:  0.627 Yaw acc:  -9.98 yaw Deseada:  24.9751952911 Control: 1608.9824636 Error:  -43.5942943836 
yaw:  -14.9846000484 Yaw vel:  0.641 Yaw acc:  -9.98 yaw Deseada:  23.6287392399 Control: 1596.5179749 Error:  -38.6133392883 
yaw:  -14.9846000484 Yaw vel:  0.641 Yaw acc:  -9.98 yaw Deseada:  22.0310106448 Control: 1592.53409598 Error:  -37.0156106931 
yaw:  -11.4073234753 Yaw vel:  0.621 Yaw acc:  -10.0 yaw Deseada:  20.2208737391 Control: 1579.05386864 Error:  -31.6281972144 
yaw:  -11.4073234753 Yaw vel:  0.621 Yaw acc:  -10.0 yaw Deseada:  18.2404399931 Control: 1574.11329811 Error:  -29.6477634684 
yaw:  -8.05473280517 Yaw vel:  0.578 Yaw acc:  -9.96 yaw Deseada:  16.1344523883 Control: 1560.45612245 Error:  -24.1891851935 
yaw:  -8.05473280517 Yaw vel:  0.578 Yaw acc:  -9.96 yaw Deseada:  13.9496317304 Control: 1555.00417153 Error:  -22.0043645356 
yaw:  -4.91669075658 Yaw vel:  0.53 Yaw acc:  -9.99 yaw Deseada:  11.7339944074 Control: 1541.6101994 Error:  -16.6506851639 
yaw:  -4.91669075658 Yaw vel:  0.53 Yaw acc:  -9.99 yaw Deseada:  9.53615141305 Control: 1536.12532684 Error:  -14.4528421696 
yaw:  -2.1125185999 Yaw vel:  0.53 Yaw acc:  -9.99 yaw Deseada:  7.40459872411 Control: 1523.77757212 Error:  -9.51711732401 
yaw:  -2.1125185999 Yaw vel:  0.469 Yaw acc:  -9.9 yaw Deseada:  5.3870092428 Control: 1518.74259824 Error:  -7.4995278427 
yaw:  0.288365810962 Yaw vel:  0.469 Yaw acc:  -9.9 yaw Deseada:  3.5295364966 Control: 1508.08979714 Error:  -3.24117068564 
yaw:  0.288365810962 Yaw vel:  0.403 Yaw acc:  -9.8 yaw Deseada:  1.87614011567 Control: 1503.96433846 Error:  -1.58777430471 
yaw:  2.31204891613 Yaw vel:  0.403 Yaw acc:  -9.8 yaw Deseada:  0.467942796466 Control: 1495.37915554 Error:  1.84410611966 
yaw:  2.31204891613 Yaw vel:  0.342 Yaw acc:  -9.89 yaw Deseada:  -0.65737199328 Control: 1492.57297917 Error:  2.96942090941 
