yaw:  -22.9960106712 Yaw vel:  -0.082 Yaw acc:  -9.95 yaw Deseada:  -28.6477787791 Control: 1485.87052221 Error:  5.65176810793 
yaw:  -23.4307761175 Yaw vel:  -0.069 Yaw acc:  -9.8 yaw Deseada:  -28.6326945267 Control: 1486.99645263 Error:  5.20191840918 
yaw:  -23.4307761175 Yaw vel:  -0.069 Yaw acc:  -9.8 yaw Deseada:  -28.581824555 Control: 1487.12252009 Error:  5.15104843749 
yaw:  -23.785860577 Yaw vel:  -0.055 Yaw acc:  -9.85 yaw Deseada:  -28.4952364263 Control: 1488.22778611 Error:  4.70937584932 
yaw:  -23.785860577 Yaw vel:  -0.055 Yaw acc:  -9.85 yaw Deseada:  -28.3730451606 Control: 1488.53237762 Error:  4.58718458355 
yaw:  -24.0669160312 Yaw vel:  -0.055 Yaw acc:  -9.85 yaw Deseada:  -28.2154131122 Control: 1489.62997452 Error:  4.14849708108 
yaw:  -24.0669160312 Yaw vel:  -0.043 Yaw acc:  -9.89 yaw Deseada:  -28.0225497969 Control: 1490.11145067 Error:  3.95563376572 
yaw:  -24.2841348298 Yaw vel:  -0.043 Yaw acc:  -9.89 yaw Deseada:  -27.7947116668 Control: 1491.22479258 Error:  3.51057683701 
yaw:  -24.2841348298 Yaw vel:  -0.036 Yaw acc:  -9.86 yaw Deseada:  -27.5322018368 Control: 1491.88056067 Error:  3.24806700701 
yaw:  -24.4325531329 Yaw vel:  -0.036 Yaw acc:  -9.86 yaw Deseada:  -27.2353697598 Control: 1492.99419341 Error:  2.80281662685 
yaw:  -24.4325531329 Yaw vel:  -0.022 Yaw acc:  -9.83 yaw Deseada:  -26.9046108527 Control: 1493.82077303 Error:  2.47205771984 
yaw:  -24.5175633749 Yaw vel:  -0.008 Yaw acc:  -9.82 yaw Deseada:  -26.5403660737 Control: 1494.94423911 Error:  2.02280269888 
yaw:  -24.5175633749 Yaw vel:  -0.008 Yaw acc:  -9.82 yaw Deseada:  -26.1431214496 Control: 1495.93720633 Error:  1.62555807471 
yaw:  -24.5404462161 Yaw vel:  -0.001 Yaw acc:  -9.88 yaw Deseada:  -25.7134075555 Control: 1497.06885154 Error:  1.1729613394 
yaw:  -24.5404462161 Yaw vel:  -0.001 Yaw acc:  -9.88 yaw Deseada:  -25.251798947 Control: 1498.22289793 Error:  0.711352730922 
yaw:  -24.5025352511 Yaw vel:  -0.001 Yaw acc:  -9.88 yaw Deseada:  -24.7589135443 Control: 1499.36031552 Error:  0.256378293135 
