t,x,y,v_x,v_y,e_x,e_y,e_vx,e_vy,u_x,u_y,trayectory_x,trayectory_y
0.0,-2.2957894542632302,-0.04007315398568191,-39.5644651711364,-1.8999685002716649,0.09578945426323049,-0.4589268460143181,39.5644651711364,1.9199685002716649,1700.0,1700.0,-2.2,-0.3
0.0636441707611084,-2.2957894542632302,-0.04007315398568191,-24.728623968245085,0.3248786159341974,0.09578945426323049,-0.4579318460143181,24.728623968245085,-0.30497861593419695,1700.0,1700.0,-2.2,-0.3
0.10021209716796875,-2.2957894542632302,-0.04007315398568191,-5.034295284881501,0.9957869642613502,0.09578945426323049,-0.4569418210143181,5.034295284881501,-0.9759864642613498,1700.0,1572.1281234790285,-2.2,-0.3
0.14975619316101074,-2.270972328097057,-0.03963996943711959,3.5741788610551097,0.24191932007300945,0.07097232809705732,-0.4563899306878804,-3.5741788610551097,-0.2222178225730096,1300.0,1300.0,-2.2,-0.3
0.2053849697113037,-2.270972328097057,-0.03963996943711959,8.427473706080862,-0.41695323704824133,0.07097232809705732,-0.4554097811872554,-8.427473706080862,0.4365562270607419,1300.0,1300.0,-2.2,-0.3
0.2595200538635254,-2.270972328097057,-0.03963996943711959,10.55243445031484,-0.508461429169097,0.07097232809705732,-0.4544345324341335,-10.55243445031484,0.5279664042315347,1300.0,1300.0,-2.2,-0.3
0.3112211227416992,-2.270972328097057,-0.03963996943711959,8.470562007375362,-0.1178161097109667,0.07097232809705732,-0.4534641599247772,-8.470562007375362,0.1372235598980922,1300.0,1300.0,-2.2,-0.3
0.35306692123413086,-2.270972328097057,-0.03963996943711959,2.7633137090323068,0.1777446471383357,0.07097232809705732,-0.4524986392779677,-2.7633137090323068,-0.15843423420214586,1340.755323855021,1300.0,-2.2,-0.3
0.40744900703430176,-2.270972328097057,-0.03963996943711959,0.07612347744054483,0.4442944973317211,0.07097232809705732,-0.4515379462343923,-0.07612347744054483,-0.4250806364602124,1563.020929904431,1300.0,-2.2,-0.3
0.450376033782959,-2.270972328097057,-0.03963996943711959,-2.1195984393923144,0.2214948049475721,0.07097232809705732,-0.4505820566560346,2.1195984393923144,-0.20237701338042066,1700.0,1415.2153633984947,-2.2,-0.3
0.5031781196594238,-2.270972328097057,-0.03963996943711959,-3.7845024706154433,-0.1977519264407728,0.07097232809705732,-0.4496309465255689,3.7845024706154433,0.2167741290500884,1700.0,1508.5305073157842,-2.2,-0.3
0.5498766899108887,-2.270972328097057,-0.03963996943711959,-4.515808829625943,-0.39931892644765377,0.07097232809705732,-0.44868459194575544,4.515808829625943,0.4182460180439229,1700.0,1549.6291297244718,-2.2,-0.3
0.610318660736084,-2.246033956589136,0.0392046685432448,-1.0720082988599875,2.485263215056411,0.04603395658913545,-0.5265876071192055,1.0720082988599875,-2.4664307589181234,1644.2461268786415,1332.8400581773594,-2.2,-0.3
0.6500649452209473,-2.246033956589136,0.0392046685432448,0.23180980112988256,-0.8634451768217409,0.04603395658913545,-0.5256506924263257,-0.23180980112988256,0.8821834706793374,1536.491000132243,1300.0,-2.2,-0.3
0.7002527713775635,-2.246033956589136,0.0392046685432448,1.1772994219438382,-0.8782063997662253,0.04603395658913545,-0.5247184623069102,-1.1772994219438382,0.8968510021545334,1456.9968122701027,1300.0,-2.2,-0.3
0.7539000511169434,-2.246033956589136,0.0392046685432448,1.530786959382341,-0.0660452388630497,0.04603395658913545,-0.5237908933380919,-1.530786959382341,0.08459661823941665,1426.8267432941384,1300.0,-2.2,-0.3
0.8063609600067139,-2.2414221594008303,0.1567355058264389,0.4968338374140179,3.9473582174994135,0.041422159400830154,-0.6403987994973117,-0.4968338374140179,-3.928899595019929,1511.254849544312,1300.0,-2.2,-0.3
0.8566029071807861,-2.2382159803335737,0.19581852480175016,-0.21852131695489246,2.8441321425535837,0.03821598033357354,-0.6785635020042687,0.21852131695489246,-2.8257658131864956,1569.1367103465188,1300.0,-2.2,-0.3
0.9040069580078125,-2.2382159803335737,0.19581852480175016,-0.878697146006848,-0.2507002406130647,0.03821598033357354,-0.677649777118256,0.878697146006848,0.26897473833331675,1624.0199847179142,1302.23704516878,-2.2,-0.3
0.9550271034240723,-2.234457584715937,0.23485095567515904,-0.6913262953191496,-0.08741000930209752,0.03445758471593674,-0.7157730517300823,0.6913262953191496,0.10559313453374863,1606.213202534783,1300.0,-2.2,-0.3
1.0016107559204102,-2.234457584715937,0.23485095567515904,-0.1573147280425602,-1.3002033652449947,0.03445758471593674,-0.7148684412498078,0.1573147280425602,1.3182955748504872,1561.5447417114608,1300.0,-2.2,-0.3
1.0565688610076904,-2.234457584715937,0.23485095567515904,0.2357635454051972,-0.868751585865956,0.03445758471593674,-0.7139683538219345,-0.2357635454051972,0.8867533344234207,1528.37022487722,1300.0,-2.2,-0.3
1.1007347106933594,-2.2383453681985457,0.19582984477313306,0.4078884757874044,-1.4823962796152144,0.038345368198545504,-0.6740516559291745,-0.4078884757874044,1.500308019429892,1516.6206078458345,1300.0,-2.2,-0.3
1.1575438976287842,-2.2383453681985457,0.19582984477313306,0.5597951186402169,0.8138063297871954,0.038345368198545504,-0.6731605468733943,-0.5597951186402169,-0.795984148671591,1503.75915533606,1300.0,-2.2,-0.3
1.2098159790039062,-2.2383453681985457,0.19582984477313306,0.13454682812100227,1.9201848519330913,0.038345368198545504,-0.6722738933628931,-0.13454682812100227,-1.9024517817230648,1539.6726083543585,1300.0,-2.2,-0.3
