yaw:  13.7076876453 Yaw vel:  0.289 Yaw acc:  -9.86 yaw Deseada:  20.1486299481 Control: 1516.09534118 Error:  -6.44094230277 
yaw:  13.7076876453 Yaw vel:  0.257 Yaw acc:  -9.85 yaw Deseada:  20.4421074593 Control: 1516.83786523 Error:  -6.73441981399 
yaw:  15.0164048243 Yaw vel:  0.257 Yaw acc:  -9.85 yaw Deseada:  20.6943215411 Control: 1514.18825672 Error:  -5.67791671681 
yaw:  15.0164048243 Yaw vel:  0.226 Yaw acc:  -9.9 yaw Deseada:  20.9043651747 Control: 1514.72119985 Error:  -5.88796035043 
yaw:  16.1274751116 Yaw vel:  0.202 Yaw acc:  -9.79 yaw Deseada:  21.0713704069 Control: 1512.35390107 Error:  -4.94389529525 
yaw:  16.1274751116 Yaw vel:  0.202 Yaw acc:  -9.79 yaw Deseada:  21.1945094304 Control: 1512.66834701 Error:  -5.06703431872 
yaw:  17.141744543 Yaw vel:  0.202 Yaw acc:  -9.79 yaw Deseada:  21.2729956258 Control: 1510.32234413 Error:  -4.13125108281 
yaw:  17.141744543 Yaw vel:  0.185 Yaw acc:  -9.85 yaw Deseada:  21.3060845644 Control: 1510.41105452 Error:  -4.16434002136 
yaw:  18.0863784882 Yaw vel:  0.185 Yaw acc:  -9.85 yaw Deseada:  21.2930749692 Control: 1508.01082495 Error:  -3.20669648094 
yaw:  18.0863784882 Yaw vel:  0.176 Yaw acc:  -9.89 yaw Deseada:  21.2333096355 Control: 1507.86695872 Error:  -3.14693114723 
yaw:  18.9652496646 Yaw vel:  0.176 Yaw acc:  -9.89 yaw Deseada:  21.1261763078 Control: 1505.39622765 Error:  -2.16092664316 
yaw:  18.9652496646 Yaw vel:  0.161 Yaw acc:  -9.83 yaw Deseada:  20.9711085135 Control: 1505.01368972 Error:  -2.00585884886 
yaw:  19.7810730723 Yaw vel:  0.161 Yaw acc:  -9.83 yaw Deseada:  20.767586352 Control: 1502.45999094 Error:  -0.986513279716 
yaw:  19.7810730723 Yaw vel:  0.153 Yaw acc:  -9.96 yaw Deseada:  20.5151372384 Control: 1501.83360241 Error:  -0.73406416613 
yaw:  20.5450246083 Yaw vel:  0.153 Yaw acc:  -9.96 yaw Deseada:  20.2133366009 Control: 1499.16420397 Error:  0.33168800739 
yaw:  20.5450246083 Yaw vel:  0.147 Yaw acc:  -9.91 yaw Deseada:  19.8618085313 Control: 1498.28979122 Error:  0.68321607695 
yaw:  21.2595016691 Yaw vel:  0.147 Yaw acc:  -9.91 yaw Deseada:  19.460226388 Control: 1495.49492821 Error:  1.79927528103 
yaw:  21.2595016691 Yaw vel:  0.136 Yaw acc:  -9.98 yaw Deseada:  19.0083133502 Control: 1494.36924248 Error:  2.25118831885 
yaw:  21.9226788865 Yaw vel:  0.136 Yaw acc:  -9.98 yaw Deseada:  18.5058429236 Control: 1491.45072361 Error:  3.41683596296 
yaw:  21.9226788865 Yaw vel:  0.123 Yaw acc:  -9.9 yaw Deseada:  17.9526393961 Control: 1490.07149135 Error:  3.97003949044 
yaw:  22.5391478553 Yaw vel:  0.12 Yaw acc:  -9.84 yaw Deseada:  17.348578244 Control: 1487.01605422 Error:  5.19056961137 
yaw:  22.5391478553 Yaw vel:  0.12 Yaw acc:  -9.84 yaw Deseada:  16.6935864869 Control: 1485.38206089 Error:  5.84556136845 
yaw:  23.1261701711 Yaw vel:  0.12 Yaw acc:  -9.84 yaw Deseada:  15.9876429923 Control: 1482.14571717 Error:  7.13852717883 
yaw:  23.1261701711 Yaw vel:  0.113 Yaw acc:  -9.85 yaw Deseada:  15.2307787282 Control: 1480.25685994 Error:  7.89539144293 
yaw:  23.6517395674 Yaw vel:  0.108 Yaw acc:  -9.86 yaw Deseada:  14.4230769646 Control: 1476.9201337 Error:  9.22866260278 
yaw:  23.6517395674 Yaw vel:  0.108 Yaw acc:  -9.86 yaw Deseada:  13.5646734225 Control: 1474.77704999 Error:  10.0870661448 
yaw:  24.1511561693 Yaw vel:  0.108 Yaw acc:  -9.86 yaw Deseada:  12.6557563713 Control: 1471.25283206 Error:  11.495399798 
yaw:  24.1511561693 Yaw vel:  0.092 Yaw acc:  -9.9 yaw Deseada:  11.6965666728 Control: 1468.85762355 Error:  12.4545894965 
yaw:  24.5815929832 Yaw vel:  0.068 Yaw acc:  -9.83 yaw Deseada:  10.687397774 Control: 1465.25565468 Error:  13.8941952093 
yaw:  24.5815929832 Yaw vel:  0.068 Yaw acc:  -9.83 yaw Deseada:  9.62859564632 Control: 1462.61099362 Error:  14.9529973369 
yaw:  24.8159760472 Yaw vel:  0.02 Yaw acc:  -9.84 yaw Deseada:  8.52055867273 Control: 1459.2532006 Error:  16.2954173745 
yaw:  24.8159760472 Yaw vel:  0.02 Yaw acc:  -9.84 yaw Deseada:  7.36373748198 Control: 1456.36229052 Error:  17.4522385653 
yaw:  24.6922078968 Yaw vel:  0.02 Yaw acc:  -9.84 yaw Deseada:  6.15863473067 Control: 1453.65941954 Error:  18.5335731662 
yaw:  24.6922078968 Yaw vel:  -0.049 Yaw acc:  -9.83 yaw Deseada:  4.90580483273 Control: 1450.52629209 Error:  19.7864030641 
yaw:  24.1009747695 Yaw vel:  -0.049 Yaw acc:  -9.83 yaw Deseada:  3.60585363691 Control: 1448.75784208 Error:  20.4951211325 
yaw:  24.1009747695 Yaw vel:  -0.136 Yaw acc:  -9.91 yaw Deseada:  2.25943805222 Control: 1445.38788615 Error:  21.8415367172 
yaw:  22.9331729308 Yaw vel:  -0.136 Yaw acc:  -9.91 yaw Deseada:  0.867265621798 Control: 1444.83385353 Error:  22.065907309 
yaw:  22.9331729308 Yaw vel:  -0.238 Yaw acc:  -9.87 yaw Deseada:  -0.569905954541 Control: 1441.23347676 Error:  23.5030788854 
yaw:  21.1263812821 Yaw vel:  -0.238 Yaw acc:  -9.87 yaw Deseada:  -2.05126934862 Control: 1442.05787155 Error:  23.1776506308 
yaw:  21.1263812821 Yaw vel:  -0.341 Yaw acc:  -9.85 yaw Deseada:  -3.57596818272 Control: 1438.23476662 Error:  24.7023494649 
yaw:  18.7396690069 Yaw vel:  -0.341 Yaw acc:  -9.85 yaw Deseada:  -5.14309765835 Control: 1440.29811351 Error:  23.8827666652 
yaw:  18.7396690069 Yaw vel:  -0.437 Yaw acc:  -9.85 yaw Deseada:  -6.75170523442 Control: 1436.26169362 Error:  25.4913742413 
yaw:  15.7980994842 Yaw vel:  -0.437 Yaw acc:  -9.85 yaw Deseada:  -8.40079135433 Control: 1439.51070225 Error:  24.1988908385 
yaw:  15.7980994842 Yaw vel:  -0.506 Yaw acc:  -9.84 yaw Deseada:  -10.0893102212 Control: 1435.27111884 Error:  25.8874097054 
yaw:  12.62038727 Yaw vel:  -0.56 Yaw acc:  -9.82 yaw Deseada:  -11.8161706204 Control: 1438.91750257 Error:  24.4365578904 
yaw:  12.62038727 Yaw vel:  -0.56 Yaw acc:  -9.82 yaw Deseada:  -13.5802367896 Control: 1434.48762399 Error:  26.2006240596 
yaw:  9.08399791686 Yaw vel:  -0.603 Yaw acc:  -9.87 yaw Deseada:  -15.3803293337 Control: 1438.84982529 Error:  24.4643272506 
yaw:  9.08399791686 Yaw vel:  -0.603 Yaw acc:  -9.87 yaw Deseada:  -17.2152261859 Control: 1434.24069421 Error:  26.2992241028 
yaw:  5.28861504745 Yaw vel:  -0.603 Yaw acc:  -9.87 yaw Deseada:  -19.0836636126 Control: 1439.08111061 Error:  24.3722786601 
yaw:  5.28861504745 Yaw vel:  -0.645 Yaw acc:  -9.78 yaw Deseada:  -20.9843372619 Control: 1434.30597532 Error:  26.2729523093 
yaw:  1.29802334386 Yaw vel:  -0.645 Yaw acc:  -9.78 yaw Deseada:  -22.915903254 Control: 1439.47779493 Error:  24.2139265979 
yaw:  1.29802334386 Yaw vel:  -0.673 Yaw acc:  -9.88 yaw Deseada:  -24.8769793141 Control: 1434.55048432 Error:  26.175002658 
yaw:  1.29802334386 Yaw vel:  -0.673 Yaw acc:  -9.88 yaw Deseada:  -26.8661459445 Control: 1429.57739821 Error:  28.1641692884 
yaw:  -2.80325157524 Yaw vel:  -0.697 Yaw acc:  -9.82 yaw Deseada:  -28.8819476369 Control: 1434.81602544 Error:  26.0786960616 
yaw:  -7.08417231562 Yaw vel:  -0.718 Yaw acc:  -9.92 yaw Deseada:  -30.9228941221 Control: 1440.41690402 Error:  23.8387218065 
yaw:  -7.08417231562 Yaw vel:  -0.718 Yaw acc:  -9.92 yaw Deseada:  -32.9874616576 Control: 1435.22914417 Error:  25.9032893419 
yaw:  -11.4834126364 Yaw vel:  -0.736 Yaw acc:  -9.82 yaw Deseada:  -35.0740943501 Control: 1441.03744299 Error:  23.5906817137 
yaw:  -11.4834126364 Yaw vel:  -0.736 Yaw acc:  -9.82 yaw Deseada:  -37.1812055137 Control: 1435.74263028 Error:  25.6977928773 
yaw:  -15.8690292912 Yaw vel:  -0.736 Yaw acc:  -9.82 yaw Deseada:  -39.3071790599 Control: 1441.41844321 Error:  23.4381497687 
yaw:  -15.8690292912 Yaw vel:  -0.725 Yaw acc:  -9.87 yaw Deseada:  -41.4503709212 Control: 1436.03354306 Error:  25.58134163 
yaw:  -20.2412246242 Yaw vel:  -0.725 Yaw acc:  -9.87 yaw Deseada:  -43.6091105042 Control: 1441.59381498 Error:  23.36788588 
yaw:  -20.2412246242 Yaw vel:  -0.721 Yaw acc:  -9.93 yaw Deseada:  -45.781702173 Control: 1436.13552893 Error:  25.5404775488 
yaw:  -24.6461621766 Yaw vel:  -0.721 Yaw acc:  -9.93 yaw Deseada:  -47.9664267594 Control: 1441.712904 Error:  23.3202645828 
yaw:  -24.6461621766 Yaw vel:  -0.704 Yaw acc:  -9.86 yaw Deseada:  -50.1615431005 Control: 1436.19813831 Error:  25.5153809239 
yaw:  -28.812261674 Yaw vel:  -0.704 Yaw acc:  -9.86 yaw Deseada:  -52.3652896011 Control: 1441.12941524 Error:  23.5530279271 
yaw:  -28.812261674 Yaw vel:  -0.697 Yaw acc:  -9.89 yaw Deseada:  -54.5758858196 Control: 1435.57744119 Error:  25.7636241456 
yaw:  -33.0651540928 Yaw vel:  -0.697 Yaw acc:  -9.89 yaw Deseada:  -56.7915340759 Control: 1440.69648743 Error:  23.7263799831 
yaw:  -33.0651540928 Yaw vel:  -0.697 Yaw acc:  -9.77 yaw Deseada:  -59.0104210797 Control: 1435.12328897 Error:  25.9452669869 
yaw:  -37.3125891904 Yaw vel:  -0.697 Yaw acc:  -9.77 yaw Deseada:  -61.2307195785 Control: 1440.21704468 Error:  23.9181303881 
yaw:  -37.3125891904 Yaw vel:  -0.706 Yaw acc:  -9.73 yaw Deseada:  -63.4505900223 Control: 1434.64145387 Error:  26.1380008318 
yaw:  -41.6171246695 Yaw vel:  -0.706 Yaw acc:  -9.73 yaw Deseada:  -65.6681822441 Control: 1439.8850865 Error:  24.0510575745 
yaw:  -41.6171246695 Yaw vel:  -0.708 Yaw acc:  -9.85 yaw Deseada:  -67.8816371555 Control: 1434.32521937 Error:  26.264512486 
yaw:  -45.9537449623 Yaw vel:  -0.718 Yaw acc:  -9.83 yaw Deseada:  -70.089088454 Control: 1439.67462401 Error:  24.1353434917 
yaw:  -45.9537449623 Yaw vel:  -0.718 Yaw acc:  -9.83 yaw Deseada:  -72.2886643418 Control: 1434.14929223 Error:  26.3349193795 
yaw:  -50.3208005779 Yaw vel:  -0.718 Yaw acc:  -9.83 yaw Deseada:  -74.4784892537 Control: 1439.61904871 Error:  24.1576886758 
yaw:  -50.3208005779 Yaw vel:  -0.722 Yaw acc:  -9.71 yaw Deseada:  -76.656685593 Control: 1434.14701387 Error:  26.3358850151 
yaw:  -54.7419820277 Yaw vel:  -0.722 Yaw acc:  -9.71 yaw Deseada:  -78.8213754732 Control: 1439.8152643 Error:  24.0793934455 
yaw:  -54.7419820277 Yaw vel:  -0.73 Yaw acc:  -9.75 yaw Deseada:  -80.9706824642 Control: 1434.41515668 Error:  26.2287004365 
yaw:  -59.2314551239 Yaw vel:  -0.73 Yaw acc:  -9.75 yaw Deseada:  -83.102733341 Control: 1440.33616147 Error:  23.8712782171 
yaw:  -59.2314551239 Yaw vel:  -0.744 Yaw acc:  -9.68 yaw Deseada:  -85.2156598338 Control: 1435.02662283 Error:  25.98420471 
yaw:  -63.8036315656 Yaw vel:  -0.756 Yaw acc:  -9.7 yaw Deseada:  -87.3076003772 Control: 1441.25517681 Error:  23.5039688116 
yaw:  -63.8036315656 Yaw vel:  -0.756 Yaw acc:  -9.7 yaw Deseada:  -89.3767018569 Control: 1436.05473084 Error:  25.5730702913 
yaw:  -68.3689914785 Yaw vel:  -0.756 Yaw acc:  -9.7 yaw Deseada:  -91.4211213527 Control: 1442.38501572 Error:  23.0521298742 
yaw:  -68.3689914785 Yaw vel:  -0.752 Yaw acc:  -9.68 yaw Deseada:  -93.4390278759 Control: 1437.31263215 Error:  25.0700363973 
yaw:  -72.9457919583 Yaw vel:  -0.752 Yaw acc:  -9.68 yaw Deseada:  -95.4286040985 Control: 1443.80870702 Error:  22.4828121401 
yaw:  -72.9457919583 Yaw vel:  -0.756 Yaw acc:  -9.81 yaw Deseada:  -97.3880480746 Control: 1438.88244337 Error:  24.4422561163 
yaw:  -77.5183372303 Yaw vel:  -0.756 Yaw acc:  -9.81 yaw Deseada:  -99.3155749501 Control: 1445.5229881 Error:  21.7972377198 
yaw:  -77.5183372303 Yaw vel:  -0.743 Yaw acc:  -9.71 yaw Deseada:  -101.20941866 Control: 1440.7607837 Error:  23.6910814302 
yaw:  -82.0412611779 Yaw vel:  -0.743 Yaw acc:  -9.71 yaw Deseada:  -103.067833615 Control: 1447.44976325 Error:  21.0265724366 
yaw:  -82.0412611779 Yaw vel:  -0.738 Yaw acc:  -9.73 yaw Deseada:  -104.889096362 Control: 1442.86934502 Error:  22.8478351845 
yaw:  -86.4648058731 Yaw vel:  -0.738 Yaw acc:  -9.73 yaw Deseada:  -106.671507246 Control: 1449.49929234 Error:  20.2067013733 
yaw:  -86.4648058731 Yaw vel:  -0.718 Yaw acc:  -9.69 yaw Deseada:  -108.413392033 Control: 1445.11795421 Error:  21.94858616 
yaw:  -90.8212849408 Yaw vel:  -0.718 Yaw acc:  -9.69 yaw Deseada:  -110.113103525 Control: 1451.78658776 Error:  19.291818584 
yaw:  -90.8212849408 Yaw vel:  -0.709 Yaw acc:  -9.76 yaw Deseada:  -111.769023149 Control: 1447.62060032 Error:  20.9477382085 
yaw:  -95.1000296256 Yaw vel:  -0.709 Yaw acc:  -9.76 yaw Deseada:  -113.379562525 Control: 1454.31736487 Error:  18.2795328998 
yaw:  -95.1000296256 Yaw vel:  -0.69 Yaw acc:  -9.86 yaw Deseada:  -114.943165005 Control: 1450.38267175 Error:  19.8431353791 
