yaw:  -73.763761753 Yaw vel:  -0.114 Yaw acc:  -9.77 yaw Deseada:  -78.5612906981 Control: 1488.00625892 Error:  4.79752894512 
yaw:  -74.4547583309 Yaw vel:  -0.104 Yaw acc:  -9.79 yaw Deseada:  -78.4751508229 Control: 1489.95063691 Error:  4.020392492 
yaw:  -74.4547583309 Yaw vel:  -0.104 Yaw acc:  -9.79 yaw Deseada:  -78.3413209768 Control: 1490.28387202 Error:  3.88656264589 
yaw:  -75.1120615857 Yaw vel:  -0.096 Yaw acc:  -9.76 yaw Deseada:  -78.1592605955 Control: 1492.38374994 Error:  3.04719900978 
yaw:  -75.1120615857 Yaw vel:  -0.096 Yaw acc:  -9.76 yaw Deseada:  -77.9284761074 Control: 1492.95944413 Error:  2.81641452176 
yaw:  -75.7031120055 Yaw vel:  -0.089 Yaw acc:  -9.79 yaw Deseada:  -77.6485216521 Control: 1495.13828897 Error:  1.9454096466 
yaw:  -75.7031120055 Yaw vel:  -0.089 Yaw acc:  -9.79 yaw Deseada:  -77.318999751 Control: 1495.96096652 Error:  1.61588774553 
yaw:  -76.2390837799 Yaw vel:  -0.077 Yaw acc:  -9.75 yaw Deseada:  -76.9395619319 Control: 1498.25070987 Error:  0.700478152044 
yaw:  -76.2390837799 Yaw vel:  -0.077 Yaw acc:  -9.75 yaw Deseada:  -76.5099093045 Control: 1499.32383037 Error:  0.270825524622 
yaw:  -76.7287673622 Yaw vel:  -0.07 Yaw acc:  -9.77 yaw Deseada:  -76.0297930878 Control: 1501.74945386 Error:  -0.698974274468 
yaw:  -76.7287673622 Yaw vel:  -0.07 Yaw acc:  -9.77 yaw Deseada:  -75.4990150878 Control: 1503.07548517 Error:  -1.22975227441 
yaw:  -77.1772307529 Yaw vel:  -0.065 Yaw acc:  -9.86 yaw Deseada:  -74.9174281259 Control: 1505.65164983 Error:  -2.259802627 
yaw:  -77.1772307529 Yaw vel:  -0.065 Yaw acc:  -9.86 yaw Deseada:  -74.2849364162 Control: 1507.2320518 Error:  -2.89229433676 
yaw:  -77.5842485558 Yaw vel:  -0.065 Yaw acc:  -9.86 yaw Deseada:  -73.6014958923 Control: 1509.9591503 Error:  -3.98275266348 
yaw:  -77.5842485558 Yaw vel:  -0.06 Yaw acc:  -9.75 yaw Deseada:  -72.8671144833 Control: 1511.79436291 Error:  -4.71713407244 
yaw:  -77.9445137137 Yaw vel:  -0.052 Yaw acc:  -9.81 yaw Deseada:  -72.0818523378 Control: 1514.65903631 Error:  -5.86266137597 
yaw:  -77.9445137137 Yaw vel:  -0.052 Yaw acc:  -9.81 yaw Deseada:  -71.2458219957 Control: 1516.74846825 Error:  -6.69869171806 
yaw:  -78.2662839255 Yaw vel:  -0.042 Yaw acc:  -9.86 yaw Deseada:  -70.3591885089 Control: 1519.77025186 Error:  -7.90709541664 
yaw:  -78.2662839255 Yaw vel:  -0.042 Yaw acc:  -9.86 yaw Deseada:  -69.4221695088 Control: 1522.11223478 Error:  -8.84411441675 
yaw:  -78.5527625499 Yaw vel:  -0.039 Yaw acc:  -9.9 yaw Deseada:  -68.4350352216 Control: 1525.2969669 Error:  -10.1177273283 
yaw:  -78.5527625499 Yaw vel:  -0.039 Yaw acc:  -9.9 yaw Deseada:  -67.3981084312 Control: 1527.88879152 Error:  -11.1546541187 
yaw:  -78.785760793 Yaw vel:  -0.039 Yaw acc:  -9.9 yaw Deseada:  -66.3117643895 Control: 1531.1877343 Error:  -12.4739964036 
yaw:  -78.785760793 Yaw vel:  -0.032 Yaw acc:  -9.84 yaw Deseada:  -65.1764306737 Control: 1534.02568582 Error:  -13.6093301194 
yaw:  -78.9179181233 Yaw vel:  -0.003 Yaw acc:  -9.89 yaw Deseada:  -63.9925869917 Control: 1537.3160638 Error:  -14.9253311316 
yaw:  -78.9179181233 Yaw vel:  -0.003 Yaw acc:  -9.89 yaw Deseada:  -62.7607649346 Control: 1540.39544375 Error:  -16.1571531887 
yaw:  -78.8733238182 Yaw vel:  0.029 Yaw acc:  -9.87 yaw Deseada:  -61.4815476773 Control: 1543.48200678 Error:  -17.3917761409 
yaw:  -78.8733238182 Yaw vel:  0.029 Yaw acc:  -9.87 yaw Deseada:  -60.1555696265 Control: 1546.79714162 Error:  -18.7177541917 
yaw:  -78.5087488109 Yaw vel:  0.115 Yaw acc:  -9.82 yaw Deseada:  -58.7835160179 Control: 1549.31517595 Error:  -19.7252327929 
yaw:  -78.5087488109 Yaw vel:  0.115 Yaw acc:  -9.82 yaw Deseada:  -57.3661224609 Control: 1552.85951162 Error:  -21.14262635 
yaw:  -77.6778562983 Yaw vel:  0.203 Yaw acc:  -9.8 yaw Deseada:  -55.9041744328 Control: 1554.43551608 Error:  -21.7736818656 
yaw:  -77.6778562983 Yaw vel:  0.203 Yaw acc:  -9.8 yaw Deseada:  -54.3985067223 Control: 1558.20150271 Error:  -23.279349576 
yaw:  -76.3186759743 Yaw vel:  0.297 Yaw acc:  -9.82 yaw Deseada:  -52.8500028229 Control: 1558.67207626 Error:  -23.4686731514 
yaw:  -76.3186759743 Yaw vel:  0.297 Yaw acc:  -9.82 yaw Deseada:  -51.2595942759 Control: 1562.65100865 Error:  -25.0590816984 
yaw:  -74.2856086961 Yaw vel:  0.407 Yaw acc:  -9.88 yaw Deseada:  -49.6282599656 Control: 1561.6425372 Error:  -24.6573487305 
yaw:  -74.2856086961 Yaw vel:  0.407 Yaw acc:  -9.88 yaw Deseada:  -47.9570253648 Control: 1565.82493018 Error:  -26.3285833313 
