yaw:  -75.127128983 Yaw vel:  -0.211 Yaw acc:  -9.84 yaw Deseada:  -78.5508674047 Control: 1491.44026428 Error:  3.42373842168 
yaw:  -76.3288734467 Yaw vel:  -0.191 Yaw acc:  -9.81 yaw Deseada:  -78.5972800297 Control: 1494.33379208 Error:  2.26840658295 
yaw:  -76.3288734467 Yaw vel:  -0.191 Yaw acc:  -9.81 yaw Deseada:  -78.5971191657 Control: 1494.32938637 Error:  2.26824571899 
yaw:  -77.4082687318 Yaw vel:  -0.191 Yaw acc:  -9.81 yaw Deseada:  -78.5510546344 Control: 1497.14771816 Error:  1.1427859026 
yaw:  -77.4082687318 Yaw vel:  -0.165 Yaw acc:  -9.9 yaw Deseada:  -78.4598000723 Control: 1497.3715513 Error:  1.05153134048 
yaw:  -78.3759084617 Yaw vel:  -0.165 Yaw acc:  -9.9 yaw Deseada:  -78.3241119988 Control: 1500.13408071 Error:  -0.0517964629133 
yaw:  -78.3759084617 Yaw vel:  -0.148 Yaw acc:  -9.77 yaw Deseada:  -78.144788843 Control: 1500.57854488 Error:  -0.23111961873 
yaw:  -79.2522763737 Yaw vel:  -0.148 Yaw acc:  -9.77 yaw Deseada:  -77.9226699297 Control: 1503.32858426 Error:  -1.32960644401 
yaw:  -79.2522763737 Yaw vel:  -0.132 Yaw acc:  -9.9 yaw Deseada:  -77.6586344267 Control: 1503.98520273 Error:  -1.59364194708 
yaw:  -80.0436972231 Yaw vel:  -0.121 Yaw acc:  -9.86 yaw Deseada:  -77.3536002528 Control: 1506.72980086 Error:  -2.69009697021 
yaw:  -80.0436972231 Yaw vel:  -0.121 Yaw acc:  -9.86 yaw Deseada:  -77.0085229504 Control: 1507.58937012 Error:  -3.03517427269 
yaw:  -80.7561884063 Yaw vel:  -0.121 Yaw acc:  -9.86 yaw Deseada:  -76.6243945201 Control: 1510.33404257 Error:  -4.13179388623 
yaw:  -80.7561884063 Yaw vel:  -0.108 Yaw acc:  -9.94 yaw Deseada:  -76.2022422227 Control: 1511.3866198 Error:  -4.55394618366 
yaw:  -81.3891625273 Yaw vel:  -0.097 Yaw acc:  -9.82 yaw Deseada:  -75.7431273462 Control: 1514.11962572 Error:  -5.6460351811 
yaw:  -81.3891625273 Yaw vel:  -0.097 Yaw acc:  -9.82 yaw Deseada:  -75.2481439416 Control: 1515.3546029 Error:  -6.14101858563 
yaw:  -81.9539986811 Yaw vel:  -0.097 Yaw acc:  -9.82 yaw Deseada:  -74.7184175277 Control: 1518.09349967 Error:  -7.2355811534 
yaw:  -81.9539986811 Yaw vel:  -0.082 Yaw acc:  -9.91 yaw Deseada:  -74.1551037656 Control: 1519.49957696 Error:  -7.79889491543 
yaw:  -82.4504578111 Yaw vel:  -0.075 Yaw acc:  -9.89 yaw Deseada:  -73.5593871068 Control: 1522.23221237 Error:  -8.89107070427 
yaw:  -82.4504578111 Yaw vel:  -0.075 Yaw acc:  -9.89 yaw Deseada:  -72.9324794127 Control: 1523.79754907 Error:  -9.51797839838 
yaw:  -82.8788131249 Yaw vel:  -0.075 Yaw acc:  -9.89 yaw Deseada:  -72.2756185502 Control: 1526.5124919 Error:  -10.6031945747 
