yaw:  -134.61865722 Yaw vel:  -0.253 Yaw acc:  -9.78 yaw Deseada:  -134.861423397 Control: 1499.39340269 Error:  0.242766176654 
yaw:  -136.159274689 Yaw vel:  -0.229 Yaw acc:  -9.85 yaw Deseada:  -134.661675644 Control: 1503.74834563 Error:  -1.4975990447 
yaw:  -136.159274689 Yaw vel:  -0.229 Yaw acc:  -9.85 yaw Deseada:  -134.389370717 Control: 1504.42544018 Error:  -1.76990397214 
yaw:  -137.58260415 Yaw vel:  -0.229 Yaw acc:  -9.85 yaw Deseada:  -134.044431944 Control: 1508.8498475 Error:  -3.53817220555 
yaw:  -137.58260415 Yaw vel:  -0.206 Yaw acc:  -9.8 yaw Deseada:  -133.626842817 Control: 1509.89044635 Error:  -3.95576133245 
yaw:  -138.901855188 Yaw vel:  -0.192 Yaw acc:  -9.82 yaw Deseada:  -133.136647128 Control: 1514.41753925 Error:  -5.76520805963 
yaw:  -138.901855188 Yaw vel:  -0.192 Yaw acc:  -9.82 yaw Deseada:  -132.573949056 Control: 1515.82117055 Error:  -6.32790613218 
yaw:  -140.130414974 Yaw vel:  -0.177 Yaw acc:  -9.81 yaw Deseada:  -131.938913195 Control: 1520.48340801 Error:  -8.1915017798 
yaw:  -140.130414974 Yaw vel:  -0.177 Yaw acc:  -9.81 yaw Deseada:  -131.23176453 Control: 1522.24839177 Error:  -8.89865044393 
yaw:  -141.283391887 Yaw vel:  -0.177 Yaw acc:  -9.81 yaw Deseada:  -130.452788359 Control: 1527.08133227 Error:  -10.8306035281 
yaw:  -141.283391887 Yaw vel:  -0.167 Yaw acc:  -9.89 yaw Deseada:  -129.602330151 Control: 1529.20477748 Error:  -11.6810617364 
yaw:  -142.367616116 Yaw vel:  -0.155 Yaw acc:  -9.87 yaw Deseada:  -128.680795358 Control: 1534.22205878 Error:  -13.6868207583 
yaw:  -142.367616116 Yaw vel:  -0.155 Yaw acc:  -9.87 yaw Deseada:  -127.688649169 Control: 1536.69989381 Error:  -14.6789669475 
yaw:  -143.340576564 Yaw vel:  -0.129 Yaw acc:  -9.86 yaw Deseada:  -126.626416207 Control: 1541.79048041 Error:  -16.714160357 
yaw:  -143.340576564 Yaw vel:  -0.129 Yaw acc:  -9.86 yaw Deseada:  -125.494680173 Control: 1544.61756537 Error:  -17.8458963905 
yaw:  -144.037761293 Yaw vel:  -0.069 Yaw acc:  -9.89 yaw Deseada:  -124.294083438 Control: 1549.36393041 Error:  -19.7436778548 
yaw:  -144.037761293 Yaw vel:  -0.069 Yaw acc:  -9.89 yaw Deseada:  -123.025326575 Control: 1552.53425262 Error:  -21.0124347183 
yaw:  -144.283607122 Yaw vel:  0.015 Yaw acc:  -9.92 yaw Deseada:  -121.689167841 Control: 1556.49004532 Error:  -22.5944392809 
yaw:  -144.283607122 Yaw vel:  0.015 Yaw acc:  -9.92 yaw Deseada:  -120.286422609 Control: 1559.99646085 Error:  -23.9971845127 
yaw:  -143.947643777 Yaw vel:  0.14 Yaw acc:  -9.89 yaw Deseada:  -118.817962741 Control: 1562.82702771 Error:  -25.1296810362 
