yaw:  -79.3779791752 Yaw vel:  -0.142 Yaw acc:  -9.87 yaw Deseada:  -77.6177648387 Control: 1504.40114712 Error:  -1.76021433654 
yaw:  -80.1901023279 Yaw vel:  -0.128 Yaw acc:  -9.82 yaw Deseada:  -77.3069812274 Control: 1507.21034557 Error:  -2.88312110051 
yaw:  -80.1901023279 Yaw vel:  -0.128 Yaw acc:  -9.82 yaw Deseada:  -76.9562932609 Control: 1508.08531674 Error:  -3.23380906696 
yaw:  -80.9549264206 Yaw vel:  -0.128 Yaw acc:  -9.82 yaw Deseada:  -76.5666980246 Control: 1510.97318477 Error:  -4.38822839597 
yaw:  -80.9549264206 Yaw vel:  -0.117 Yaw acc:  -9.9 yaw Deseada:  -76.1392276905 Control: 1512.04021461 Error:  -4.81569873014 
yaw:  -81.6621446978 Yaw vel:  -0.108 Yaw acc:  -9.98 yaw Deseada:  -75.6749482801 Control: 1514.97064309 Error:  -5.98719641772 
yaw:  -81.6621446978 Yaw vel:  -0.108 Yaw acc:  -9.98 yaw Deseada:  -75.174958396 Control: 1516.21909755 Error:  -6.48718630186 
yaw:  -82.3145097258 Yaw vel:  -0.101 Yaw acc:  -9.85 yaw Deseada:  -74.6403879215 Control: 1519.1879911 Error:  -7.67412180435 
yaw:  -82.3145097258 Yaw vel:  -0.101 Yaw acc:  -9.85 yaw Deseada:  -74.0723966924 Control: 1520.60656812 Error:  -8.24211303348 
yaw:  -82.9166182219 Yaw vel:  -0.091 Yaw acc:  -9.89 yaw Deseada:  -73.4721731397 Control: 1523.61383373 Error:  -9.44444508227 
yaw:  -82.9166182219 Yaw vel:  -0.091 Yaw acc:  -9.89 yaw Deseada:  -72.8409329066 Control: 1525.19064176 Error:  -10.0756853153 
yaw:  -83.4757921489 Yaw vel:  -0.083 Yaw acc:  -9.89 yaw Deseada:  -72.1799174402 Control: 1528.2424478 Error:  -11.2958747087 
yaw:  -83.4757921489 Yaw vel:  -0.083 Yaw acc:  -9.89 yaw Deseada:  -71.4903925591 Control: 1529.9650591 Error:  -11.9853995898 
yaw:  -83.9699221844 Yaw vel:  -0.066 Yaw acc:  -9.89 yaw Deseada:  -70.7736469998 Control: 1532.9934275 Error:  -13.1962751847 
yaw:  -83.9699221844 Yaw vel:  -0.066 Yaw acc:  -9.89 yaw Deseada:  -70.0309909413 Control: 1534.8490082 Error:  -13.9389312431 
yaw:  -84.3135831525 Yaw vel:  -0.038 Yaw acc:  -9.9 yaw Deseada:  -69.2637545118 Control: 1537.62708457 Error:  -15.0498286407 
yaw:  -84.3135831525 Yaw vel:  -0.038 Yaw acc:  -9.9 yaw Deseada:  -68.4732862768 Control: 1539.60253017 Error:  -15.8402968757 
yaw:  -84.4416491994 Yaw vel:  -0.038 Yaw acc:  -9.9 yaw Deseada:  -67.6609517118 Control: 1541.95387068 Error:  -16.7806974876 
yaw:  -84.4416491994 Yaw vel:  0.012 Yaw acc:  -9.91 yaw Deseada:  -66.8281316599 Control: 1544.03567735 Error:  -17.6135175396 
yaw:  -84.2141834095 Yaw vel:  0.012 Yaw acc:  -9.91 yaw Deseada:  -65.9762207771 Control: 1545.59631871 Error:  -18.2379626324 
yaw:  -84.2141834095 Yaw vel:  0.085 Yaw acc:  -9.85 yaw Deseada:  -65.1066259661 Control: 1547.77085998 Error:  -19.1075574434 
